2024-02-23 10:45:15,356 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2024-02-23 10:45:15,356 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2024-02-23 10:45:15,356 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-02-23 10:45:15,356 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2024-02-23 10:45:15,356 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2024-02-23 10:45:16,065 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=ecd62397-9819-4429-a892-36dbf4b0a943(97c773006618/172.18.0.5)} | ret=SUCCESS |  
2024-02-23 10:45:16,902 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-02-23 10:45:17,009 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=cf586770-dce1-4b57-82d9-959a5e3d57c8(28e1d1db5d80/172.18.0.9)} | ret=SUCCESS |  
2024-02-23 10:45:17,589 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {datanodeDetails=905e916c-0e4d-4f24-a5de-8707b38c432e(9ec13a5f83b7/172.18.0.11)} | ret=SUCCESS |  
2024-02-23 10:45:18,075 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=ecd62397-9819-4429-a892-36dbf4b0a943, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "f6007303-8953-4304-bcc7-d84ec953f75d" uuid128 { mostSigBits: -720449481353247996 leastSigBits: -4843665041316907171 } } type: RATIS factor: ONE datanode { uuid: "ecd62397-9819-4429-a892-36dbf4b0a943" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "ecd62397-9819-4429-a892-36dbf4b0a943" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1380877101743651799 leastSigBits: -6299912610406946493 } } cmdId: 1708685116079 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ce388163-10d5-494f-ba76-b726ab1b668e" uuid128 { mostSigBits: -3586974840716441265 leastSigBits: -5010616158695758194 } } type: RATIS factor: THREE datanode { uuid: "ecd62397-9819-4429-a892-36dbf4b0a943" ipAddress: "172.18.0.5" hostName: "ozone-ha_datanode_3.ozone-ha_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "ecd62397-9819-4429-a892-36dbf4b0a943" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -1380877101743651799 leastSigBits: -6299912610406946493 } } datanode { uuid: "cf586770-dce1-4b57-82d9-959a5e3d57c8" ipAddress: "172.18.0.9" hostName: "ozone-ha_datanode_1.ozone-ha_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "cf586770-dce1-4b57-82d9-959a5e3d57c8" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -3505938575468180649 leastSigBits: -9018012288594126904 } } datanode { uuid: "905e916c-0e4d-4f24-a5de-8707b38c432e" ipAddress: "172.18.0.11" hostName: "ozone-ha_datanode_2.ozone-ha_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "905e916c-0e4d-4f24-a5de-8707b38c432e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8043831991154684124 leastSigBits: -6494605145474841810 } } cmdId: 1708685116082 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2024-02-23 10:45:18,746 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
