2024-03-11 15:24:45,824 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2024-03-11 15:24:46,903 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=2df38033-690c-4016-80c1-e33824e5b1eb(48d3c7e94db6/172.25.0.103)} | ret=SUCCESS |  
2024-03-11 15:24:48,637 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=2df38033-690c-4016-80c1-e33824e5b1eb, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:48,951 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2024-03-11 15:24:49,915 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2024-03-11 15:24:50,154 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=2df38033-690c-4016-80c1-e33824e5b1eb, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:50,642 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=8364e05e-d49a-4a28-a8fc-9a7c79d5682a(12e05bac003f/172.25.0.104)} | ret=SUCCESS |  
2024-03-11 15:24:51,759 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=90397dd1-8e80-4687-ac45-2944d299b71f(34eca0a18eef/172.25.0.102)} | ret=SUCCESS |  
2024-03-11 15:24:52,625 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8364e05e-d49a-4a28-a8fc-9a7c79d5682a, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:53,701 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=90397dd1-8e80-4687-ac45-2944d299b71f, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:53,958 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8364e05e-d49a-4a28-a8fc-9a7c79d5682a, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:54,197 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8364e05e-d49a-4a28-a8fc-9a7c79d5682a, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:55,160 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=90397dd1-8e80-4687-ac45-2944d299b71f, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:55,364 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=90397dd1-8e80-4687-ac45-2944d299b71f, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:55,667 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=2df38033-690c-4016-80c1-e33824e5b1eb, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:55,735 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=2df38033-690c-4016-80c1-e33824e5b1eb, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:56,928 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8364e05e-d49a-4a28-a8fc-9a7c79d5682a, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:57,215 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=2df38033-690c-4016-80c1-e33824e5b1eb, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:57,329 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=90397dd1-8e80-4687-ac45-2944d299b71f, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:59,357 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8364e05e-d49a-4a28-a8fc-9a7c79d5682a, command=[]} | ret=SUCCESS |  
2024-03-11 15:24:59,730 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8364e05e-d49a-4a28-a8fc-9a7c79d5682a, command=[]} | ret=SUCCESS |  
2024-03-11 15:25:00,454 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=90397dd1-8e80-4687-ac45-2944d299b71f, command=[]} | ret=SUCCESS |  
2024-03-11 15:25:02,791 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=90397dd1-8e80-4687-ac45-2944d299b71f, command=[]} | ret=SUCCESS |  
2024-03-11 15:25:27,267 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=2df38033-690c-4016-80c1-e33824e5b1eb, command=[]} | ret=SUCCESS |  
2024-03-11 15:25:29,805 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=8364e05e-d49a-4a28-a8fc-9a7c79d5682a, command=[]} | ret=SUCCESS |  
