2024-04-06 20:59:14,244 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_BUCKET {bucket=[bucket1]} | ret=SUCCESS |  
2024-04-06 20:59:20,015 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/1]} | ret=SUCCESS | perf={metaLatencyMs=330, sizeByte=10240, opLatencyMs=2281} |  
2024-04-06 20:59:20,023 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/0]} | ret=SUCCESS | perf={metaLatencyMs=345, sizeByte=10240, opLatencyMs=2304} |  
2024-04-06 20:59:20,027 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/7]} | ret=SUCCESS | perf={metaLatencyMs=342, sizeByte=10240, opLatencyMs=2305} |  
2024-04-06 20:59:20,030 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/3]} | ret=SUCCESS | perf={metaLatencyMs=356, sizeByte=10240, opLatencyMs=2321} |  
2024-04-06 20:59:20,039 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/6]} | ret=SUCCESS | perf={metaLatencyMs=323, sizeByte=10240, opLatencyMs=2299} |  
2024-04-06 20:59:20,050 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/4]} | ret=SUCCESS | perf={metaLatencyMs=245, sizeByte=10240, opLatencyMs=2231} |  
2024-04-06 20:59:20,063 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/9]} | ret=SUCCESS | perf={metaLatencyMs=272, sizeByte=10240, opLatencyMs=2270} |  
2024-04-06 20:59:20,068 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/2]} | ret=SUCCESS | perf={metaLatencyMs=312, sizeByte=10240, opLatencyMs=2309} |  
2024-04-06 20:59:20,078 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/8]} | ret=SUCCESS | perf={metaLatencyMs=305, sizeByte=10240, opLatencyMs=2318} |  
2024-04-06 20:59:20,070 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/5]} | ret=SUCCESS | perf={metaLatencyMs=353, sizeByte=10240, opLatencyMs=2359} |  
2024-04-06 20:59:20,324 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/10]} | ret=SUCCESS | perf={metaLatencyMs=40, sizeByte=10240, opLatencyMs=207} |  
2024-04-06 20:59:20,389 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/19]} | ret=SUCCESS | perf={metaLatencyMs=79, sizeByte=10240, opLatencyMs=232} |  
2024-04-06 20:59:20,521 | INFO  | S3GAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.18.0.3 | op=CREATE_KEY {bucket=[bucket1], path=[s3bg/12]} | ret=SUCCESS | perf={metaLatencyMs=57, sizeByte=10240, opLatencyMs=407} |  
