2024-04-20 10:50:41,852 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=REGISTER {datanodeDetails=fc477edc-3134-4c68-9c43-916a8331086c{ip: 172.20.0.8, host: a7a30ec3b435, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2024-04-20 10:50:42,199 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=REGISTER {datanodeDetails=6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7{ip: 172.20.0.9, host: 2cab1be423c5, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2024-04-20 10:50:42,848 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=REGISTER {datanodeDetails=277c12a8-c1ad-4aed-8409-08b26c4b628d{ip: 172.20.0.12, host: f96e7b2d112b, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2024-04-20 10:50:43,754 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=fc477edc-3134-4c68-9c43-916a8331086c, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "7568bfc6-7d6e-471c-9896-157f4f00f301" uuid128 { mostSigBits: 8460222759244285724 leastSigBits: -7451744896907414783 } } type: RATIS factor: ONE datanode { uuid: "fc477edc-3134-4c68-9c43-916a8331086c" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "fc477edc-3134-4c68-9c43-916a8331086c" networkLocation: "/default-rack" uuid128 { mostSigBits: -268106168621839256 leastSigBits: -7186740693699590036 } } cmdId: 1713610241851 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "327b6138-c564-42eb-be76-ef76682e5de5" uuid128 { mostSigBits: 3637608020489552619 leastSigBits: -4722323867418337819 } } type: RATIS factor: THREE datanode { uuid: "fc477edc-3134-4c68-9c43-916a8331086c" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "fc477edc-3134-4c68-9c43-916a8331086c" networkLocation: "/default-rack" uuid128 { mostSigBits: -268106168621839256 leastSigBits: -7186740693699590036 } } datanode { uuid: "6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7" networkLocation: "/default-rack" uuid128 { mostSigBits: 8069820328911784837 leastSigBits: -6795580154827029593 } } datanode { uuid: "277c12a8-c1ad-4aed-8409-08b26c4b628d" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "277c12a8-c1ad-4aed-8409-08b26c4b628d" networkLocation: "/default-rack" uuid128 { mostSigBits: 2845169580604476141 leastSigBits: -8932598823498587507 } } cmdId: 1713610241854 } ]} | ret=SUCCESS |  
2024-04-20 10:50:44,147 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ab0a5e65-b571-4051-849e-cf55ae3da172" uuid128 { mostSigBits: -6121976952527962031 leastSigBits: -8890440647480336014 } } type: RATIS factor: ONE datanode { uuid: "6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7" networkLocation: "/default-rack" uuid128 { mostSigBits: 8069820328911784837 leastSigBits: -6795580154827029593 } } cmdId: 1713610241852 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "327b6138-c564-42eb-be76-ef76682e5de5" uuid128 { mostSigBits: 3637608020489552619 leastSigBits: -4722323867418337819 } } type: RATIS factor: THREE datanode { uuid: "fc477edc-3134-4c68-9c43-916a8331086c" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "fc477edc-3134-4c68-9c43-916a8331086c" networkLocation: "/default-rack" uuid128 { mostSigBits: -268106168621839256 leastSigBits: -7186740693699590036 } } datanode { uuid: "6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7" networkLocation: "/default-rack" uuid128 { mostSigBits: 8069820328911784837 leastSigBits: -6795580154827029593 } } datanode { uuid: "277c12a8-c1ad-4aed-8409-08b26c4b628d" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "277c12a8-c1ad-4aed-8409-08b26c4b628d" networkLocation: "/default-rack" uuid128 { mostSigBits: 2845169580604476141 leastSigBits: -8932598823498587507 } } cmdId: 1713610241854 } ]} | ret=SUCCESS |  
2024-04-20 10:50:44,720 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=fc477edc-3134-4c68-9c43-916a8331086c, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:44,802 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=277c12a8-c1ad-4aed-8409-08b26c4b628d, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "97ed9715-71ce-426d-8e8c-74a1f5d76d7b" uuid128 { mostSigBits: -7499171686142557587 leastSigBits: -8175030984621200005 } } type: RATIS factor: ONE datanode { uuid: "277c12a8-c1ad-4aed-8409-08b26c4b628d" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "277c12a8-c1ad-4aed-8409-08b26c4b628d" networkLocation: "/default-rack" uuid128 { mostSigBits: 2845169580604476141 leastSigBits: -8932598823498587507 } } cmdId: 1713610241853 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "327b6138-c564-42eb-be76-ef76682e5de5" uuid128 { mostSigBits: 3637608020489552619 leastSigBits: -4722323867418337819 } } type: RATIS factor: THREE datanode { uuid: "fc477edc-3134-4c68-9c43-916a8331086c" ipAddress: "172.20.0.8" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "fc477edc-3134-4c68-9c43-916a8331086c" networkLocation: "/default-rack" uuid128 { mostSigBits: -268106168621839256 leastSigBits: -7186740693699590036 } } datanode { uuid: "6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7" networkLocation: "/default-rack" uuid128 { mostSigBits: 8069820328911784837 leastSigBits: -6795580154827029593 } } datanode { uuid: "277c12a8-c1ad-4aed-8409-08b26c4b628d" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "277c12a8-c1ad-4aed-8409-08b26c4b628d" networkLocation: "/default-rack" uuid128 { mostSigBits: 2845169580604476141 leastSigBits: -8932598823498587507 } } cmdId: 1713610241854 } ]} | ret=SUCCESS |  
2024-04-20 10:50:44,818 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=fc477edc-3134-4c68-9c43-916a8331086c, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:45,154 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:45,222 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=6ffdc2d5-5a03-4b85-a1b1-3fda8cd743a7, command=[]} | ret=SUCCESS |  
2024-04-20 10:50:45,425 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=277c12a8-c1ad-4aed-8409-08b26c4b628d, command=[]} | ret=SUCCESS |  
