2024-04-20 11:06:40,332 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-20 11:06:40,333 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-20 11:06:40,334 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-20 11:06:40,334 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-20 11:06:40,334 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-20 11:06:40,334 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-20 11:06:40,339 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-20 11:06:40,339 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-20 11:06:41,321 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.4 | op=REGISTER {datanodeDetails=e862bc80-c3b7-4f83-980d-70fecde9d630(b4d459ab8779/172.26.0.4)} | ret=SUCCESS |  
2024-04-20 11:06:41,658 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.10 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-04-20 11:06:41,787 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.12 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-04-20 11:06:42,074 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.5 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-04-20 11:06:42,151 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.6 | op=REGISTER {datanodeDetails=8e6f8a3d-003d-4e86-baf7-d0f8cd439251(926a6b27cd42/172.26.0.6)} | ret=SUCCESS |  
2024-04-20 11:06:42,214 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.8 | op=REGISTER {datanodeDetails=1fe0ecc5-97a2-4877-8798-53b575fca029(6753e19510a7/172.26.0.8)} | ret=SUCCESS |  
2024-04-20 11:06:42,826 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.11 | op=REGISTER {datanodeDetails=b09d4cbf-4499-43f0-a588-45aae9969862(b03a63a63d9a/172.26.0.11)} | ret=SUCCESS |  
2024-04-20 11:06:42,904 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.13 | op=REGISTER {datanodeDetails=ca6141b5-ea6c-45a4-b122-7edcf516df90(50dcfd19f9e2/172.26.0.13)} | ret=SUCCESS |  
