2024-04-23 06:10:39,373 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-23 06:10:39,373 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-23 06:10:39,373 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-23 06:10:39,374 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-23 06:10:39,375 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2024-04-23 06:10:40,027 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.11 | op=REGISTER {datanodeDetails=d843018e-db6d-4625-867c-3943e5aa5b2d{ip: 172.23.0.11, host: 7246ab14f38f, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-04-23 06:10:40,821 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.14 | op=REGISTER {datanodeDetails=fb971bf0-1b53-404c-89b1-48c1967b6dd3{ip: 172.23.0.14, host: 4a6ad08dc25e, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-04-23 06:10:40,943 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.12 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-04-23 06:10:41,090 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-04-23 06:10:41,098 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.4 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-04-23 06:10:41,210 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-04-23 06:10:41,567 | INFO  | SCMAudit | user=hadoop | ip=172.23.0.13 | op=REGISTER {datanodeDetails=a26bf598-74e5-408b-87ba-c2749a853475{ip: 172.23.0.13, host: b81be8ffb7c6, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
