2024-05-14 07:26:38,012 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-14 07:26:38,012 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-14 07:26:38,012 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-14 07:26:38,012 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-14 07:26:38,012 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-14 07:26:38,780 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-05-14 07:26:38,849 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-05-14 07:26:39,188 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {datanodeDetails=c7721aef-bfc9-4b4e-8bfe-0b482738740a(7b589db8666c/172.18.0.2)} | ret=SUCCESS |  
2024-05-14 07:26:39,812 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=01880709-b1fb-4a24-85e9-e2afee0cd50e(be2138463cb0/172.18.0.5)} | ret=SUCCESS |  
2024-05-14 07:26:39,985 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=5bb95a19-2c3f-48a0-93c6-cd8d0b8fd613(09d5343a155c/172.18.0.4)} | ret=SUCCESS |  
2024-05-14 07:26:40,057 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE null | ret=SUCCESS |  
