2024-05-14 07:49:28,506 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-14 07:49:28,506 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-14 07:49:28,506 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-14 07:49:28,507 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-14 07:49:28,636 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-05-14 07:49:28,910 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-05-14 07:49:29,023 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-05-14 07:49:29,231 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=b0c0bd92-99a4-4e31-a523-d0d836d61288(c346fdf96468/10.9.0.13)} | ret=SUCCESS |  
2024-05-14 07:49:30,002 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=3418a1ba-3aef-4b16-bc1e-be9a2ce7377f(8dbb0b5513e9/10.9.0.12)} | ret=SUCCESS |  
2024-05-14 07:49:30,078 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-05-14 07:49:30,153 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=247d6a69-e7cf-49b0-99e8-0ef374e20586(b1b53a2e0154/10.9.0.11)} | ret=SUCCESS |  
2024-05-14 07:49:31,054 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-05-14 07:49:31,080 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
