2024-05-28 12:50:55,766 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:50:56,212 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=voluikae, creationTime=1716900656181, modificationTime=1716900656181, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2024-05-28 12:50:58,569 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:50:58,894 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:50:58,969 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=CREATE_BUCKET {volume=voluikae, bucket=default, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1716900658961, bucketEncryptionKey=null, modificationTime=1716900658961, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1} | ret=SUCCESS |  
2024-05-28 12:51:01,210 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:01,486 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:01,542 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=CREATE_BUCKET {volume=voluikae, bucket=ratis, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1716900661537, bucketEncryptionKey=null, modificationTime=1716900661537, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=RATIS, replicationConfig=THREE, quotaInBytes=-1, quotaInNamespace=-1} | ret=SUCCESS |  
2024-05-28 12:51:03,860 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:04,167 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:04,235 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=CREATE_BUCKET {volume=voluikae, bucket=ecbucket, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1716900664229, bucketEncryptionKey=null, modificationTime=1716900664229, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=EC, replicationConfig=rs-3-2-1024k, quotaInBytes=-1, quotaInNamespace=-1} | ret=SUCCESS |  
2024-05-28 12:51:06,649 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:06,951 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:06,974 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_BUCKET {volume=voluikae, bucket=default} | ret=SUCCESS |  
2024-05-28 12:51:07,038 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_BUCKET {volume=voluikae, bucket=default} | ret=SUCCESS |  
2024-05-28 12:51:07,169 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=ALLOCATE_KEY {volume=voluikae, bucket=default, key=3mb, dataSize=3145728, replicationType=NONE} | ret=SUCCESS |  
2024-05-28 12:51:09,097 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=COMMIT_KEY {volume=voluikae, bucket=default, key=3mb, dataSize=3145728, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2024-05-28 12:51:11,813 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:12,111 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:12,133 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_BUCKET {volume=voluikae, bucket=ratis} | ret=SUCCESS |  
2024-05-28 12:51:12,173 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_BUCKET {volume=voluikae, bucket=ratis} | ret=SUCCESS |  
2024-05-28 12:51:12,185 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=ALLOCATE_KEY {volume=voluikae, bucket=ratis, key=3mb, dataSize=3145728, replicationType=NONE} | ret=SUCCESS |  
2024-05-28 12:51:13,952 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=COMMIT_KEY {volume=voluikae, bucket=ratis, key=3mb, dataSize=3145728, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2024-05-28 12:51:16,888 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:17,212 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:17,231 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_BUCKET {volume=voluikae, bucket=ecbucket} | ret=SUCCESS |  
2024-05-28 12:51:17,274 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=READ_BUCKET {volume=voluikae, bucket=ecbucket} | ret=SUCCESS |  
2024-05-28 12:51:17,298 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=ALLOCATE_KEY {volume=voluikae, bucket=ecbucket, key=3mb, dataSize=3145728, replicationType=NONE} | ret=SUCCESS |  
2024-05-28 12:51:18,864 | INFO  | OMAudit | user=hadoop | ip=172.25.0.4 | op=COMMIT_KEY {volume=voluikae, bucket=ecbucket, key=3mb, dataSize=3145728, replicationType=EC, replicationConfig=rs-3-2-1048576} | ret=SUCCESS |  
2024-05-28 12:51:20,954 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:21,031 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:21,043 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=voluikae, bucket=ratis} | ret=SUCCESS |  
2024-05-28 12:51:21,188 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_KEY {volume=voluikae, bucket=ratis, key=3mb, owner=null, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2024-05-28 12:51:23,913 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:24,009 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:24,021 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=voluikae, bucket=default} | ret=SUCCESS |  
2024-05-28 12:51:24,034 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_KEY {volume=voluikae, bucket=default, key=3mb, owner=null, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2024-05-28 12:51:26,743 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:26,812 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:26,823 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=voluikae, bucket=ecbucket} | ret=SUCCESS |  
2024-05-28 12:51:26,836 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_KEY {volume=voluikae, bucket=ecbucket, key=3mb, owner=null, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2024-05-28 12:51:28,019 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:28,073 | INFO  | OMAudit | user=hadoop | ip=172.25.0.11 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:28,112 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_VOLUMES {prevKey=, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2024-05-28 12:51:28,378 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_VOLUMES {prevKey=s3v, prefix=, maxKeys=1000, username=hadoop} | ret=SUCCESS |  
2024-05-28 12:51:29,811 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:29,908 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:29,922 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_BUCKETS {volume=voluikae, startKey=, prefix=, maxNumOfBuckets=1000, hasSnapshot=false} | ret=SUCCESS |  
2024-05-28 12:51:30,108 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_BUCKETS {volume=voluikae, startKey=ratis, prefix=, maxNumOfBuckets=1000, hasSnapshot=false} | ret=SUCCESS |  
2024-05-28 12:51:31,208 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:31,285 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:31,294 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=voluikae, bucket=default} | ret=SUCCESS |  
2024-05-28 12:51:31,307 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_KEYS {volume=voluikae, bucket=default, startKey=, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2024-05-28 12:51:31,537 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_KEYS {volume=voluikae, bucket=default, startKey=3mb, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2024-05-28 12:51:31,542 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_KEYS {volume=voluikae, bucket=default, startKey=3mb, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2024-05-28 12:51:32,778 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:32,849 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:32,860 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=voluikae, bucket=ratis} | ret=SUCCESS |  
2024-05-28 12:51:32,868 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_KEYS {volume=voluikae, bucket=ratis, startKey=, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2024-05-28 12:51:33,055 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_KEYS {volume=voluikae, bucket=ratis, startKey=3mb, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2024-05-28 12:51:33,061 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_KEYS {volume=voluikae, bucket=ratis, startKey=3mb, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2024-05-28 12:51:34,298 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:34,371 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:34,383 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=voluikae, bucket=ecbucket} | ret=SUCCESS |  
2024-05-28 12:51:34,392 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=LIST_KEYS {volume=voluikae, bucket=ecbucket, startKey=, maxKeys=1000, keyPrefix=} | ret=SUCCESS |  
2024-05-28 12:51:35,520 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:35,610 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:37,101 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-05-28 12:51:37,172 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=voluikae} | ret=SUCCESS |  
2024-05-28 12:51:37,182 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=voluikae, bucket=default} | ret=SUCCESS |  
2024-05-28 12:51:38,542 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
