2024-05-28 12:44:23,684 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-05-28 12:44:24,337 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-28 12:44:24,338 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-28 12:44:25,078 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2024-05-28 12:44:25,944 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.12 | op=REGISTER {datanodeDetails=02ec2f44-f1bf-4e69-800e-9df8d1c7996b{ip: 172.22.0.12, host: 13998123061e, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-05-28 12:44:26,204 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.13 | op=REGISTER {datanodeDetails=833c0250-e40a-44a6-9552-02bbee4e8ae1{ip: 172.22.0.13, host: 37ed326d0dbd, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-05-28 12:44:26,940 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.14 | op=REGISTER {datanodeDetails=9b874d5c-cf8d-44b5-b0c1-2730ab707b5e{ip: 172.22.0.14, host: bf771d42d41c, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2024-05-28 12:44:27,768 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-05-28 12:44:27,876 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.12 | op=SEND_HEARTBEAT {datanodeUUID=02ec2f44-f1bf-4e69-800e-9df8d1c7996b, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "4ce1d67e-522e-49d3-bd52-2232311bc4b4" uuid128 { mostSigBits: 5539944854675409363 leastSigBits: -4804740253483285324 } } type: RATIS factor: ONE datanode { uuid: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" ipAddress: "172.22.0.12" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 210595255739698793 leastSigBits: -9219257695183857301 } } cmdId: 1716900265969 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e40acadb-48d1-4c46-b4ed-a606a01e6a0a" uuid128 { mostSigBits: -2014574840126550970 leastSigBits: -5409485030015735286 } } type: RATIS factor: THREE datanode { uuid: "9b874d5c-cf8d-44b5-b0c1-2730ab707b5e" ipAddress: "172.22.0.14" hostName: "xcompat-datanode-2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9b874d5c-cf8d-44b5-b0c1-2730ab707b5e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7239732814960311115 leastSigBits: -5710239762540889250 } } datanode { uuid: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" ipAddress: "172.22.0.12" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 210595255739698793 leastSigBits: -9219257695183857301 } } datanode { uuid: "833c0250-e40a-44a6-9552-02bbee4e8ae1" ipAddress: "172.22.0.13" hostName: "xcompat-datanode-3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "833c0250-e40a-44a6-9552-02bbee4e8ae1" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8990308209691835226 leastSigBits: -7687078607787750687 } } cmdId: 1716900265972 priority: 0 priority: 1 priority: 0 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "67e0275f-59d3-4aef-89da-a6166240bcc4" uuid128 { mostSigBits: 7485025871172160239 leastSigBits: -8513309530522600252 } } type: RATIS factor: THREE datanode { uuid: "833c0250-e40a-44a6-9552-02bbee4e8ae1" ipAddress: "172.22.0.13" hostName: "xcompat-datanode-3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "833c0250-e40a-44a6-9552-02bbee4e8ae1" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8990308209691835226 leastSigBits: -7687078607787750687 } } datanode { uuid: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" ipAddress: "172.22.0.12" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 210595255739698793 leastSigBits: -9219257695183857301 } } datanode { uuid: "9b874d5c-cf8d-44b5-b0c1-2730ab707b5e" ipAddress: "172.22.0.14" hostName: "xcompat-datanode-2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9b874d5c-cf8d-44b5-b0c1-2730ab707b5e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7239732814960311115 leastSigBits: -5710239762540889250 } } cmdId: 1716900265973 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2024-05-28 12:44:28,138 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.11 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-05-28 12:44:28,182 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.13 | op=SEND_HEARTBEAT {datanodeUUID=833c0250-e40a-44a6-9552-02bbee4e8ae1, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "32ede42c-bdf7-4495-acd7-706d310f117e" uuid128 { mostSigBits: 3669840152193614997 leastSigBits: -5992197164916338306 } } type: RATIS factor: ONE datanode { uuid: "833c0250-e40a-44a6-9552-02bbee4e8ae1" ipAddress: "172.22.0.13" hostName: "xcompat-datanode-3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "833c0250-e40a-44a6-9552-02bbee4e8ae1" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8990308209691835226 leastSigBits: -7687078607787750687 } } cmdId: 1716900265970 priority: 1 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "e40acadb-48d1-4c46-b4ed-a606a01e6a0a" uuid128 { mostSigBits: -2014574840126550970 leastSigBits: -5409485030015735286 } } type: RATIS factor: THREE datanode { uuid: "9b874d5c-cf8d-44b5-b0c1-2730ab707b5e" ipAddress: "172.22.0.14" hostName: "xcompat-datanode-2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9b874d5c-cf8d-44b5-b0c1-2730ab707b5e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7239732814960311115 leastSigBits: -5710239762540889250 } } datanode { uuid: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" ipAddress: "172.22.0.12" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 210595255739698793 leastSigBits: -9219257695183857301 } } datanode { uuid: "833c0250-e40a-44a6-9552-02bbee4e8ae1" ipAddress: "172.22.0.13" hostName: "xcompat-datanode-3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "833c0250-e40a-44a6-9552-02bbee4e8ae1" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8990308209691835226 leastSigBits: -7687078607787750687 } } cmdId: 1716900265972 priority: 0 priority: 1 priority: 0 } term: -1 encodedToken: "" , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "67e0275f-59d3-4aef-89da-a6166240bcc4" uuid128 { mostSigBits: 7485025871172160239 leastSigBits: -8513309530522600252 } } type: RATIS factor: THREE datanode { uuid: "833c0250-e40a-44a6-9552-02bbee4e8ae1" ipAddress: "172.22.0.13" hostName: "xcompat-datanode-3.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "833c0250-e40a-44a6-9552-02bbee4e8ae1" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -8990308209691835226 leastSigBits: -7687078607787750687 } } datanode { uuid: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" ipAddress: "172.22.0.12" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "02ec2f44-f1bf-4e69-800e-9df8d1c7996b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 210595255739698793 leastSigBits: -9219257695183857301 } } datanode { uuid: "9b874d5c-cf8d-44b5-b0c1-2730ab707b5e" ipAddress: "172.22.0.14" hostName: "xcompat-datanode-2.xcompat_default" ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "9b874d5c-cf8d-44b5-b0c1-2730ab707b5e" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -7239732814960311115 leastSigBits: -5710239762540889250 } } cmdId: 1716900265973 priority: 1 priority: 0 priority: 0 } term: -1 encodedToken: "" ]} | ret=SUCCESS |  
2024-05-28 12:44:28,417 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.8 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-05-28 12:44:28,702 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.2 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-05-28 12:44:28,856 | INFO  | SCMAudit | user=hadoop | ip=172.22.0.12 | op=SEND_HEARTBEAT {datanodeUUID=02ec2f44-f1bf-4e69-800e-9df8d1c7996b, command=[]} | ret=SUCCESS |  
