2024-06-07 07:43:05,561 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 07:43:05,561 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 07:43:05,561 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 07:43:07,122 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-06-07 07:43:07,454 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-06-07 07:43:07,454 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-06-07 07:43:07,458 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-06-07 07:43:07,884 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=2ef7096d-7507-4223-b5cc-8e7081a327fa(c5e4f8bf1369/10.9.0.11)} | ret=SUCCESS |  
2024-06-07 07:43:07,889 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=a3c91d28-cec3-4fc4-b236-b7ef6ea1fa53(d4e7119c96cd/10.9.0.12)} | ret=SUCCESS |  
2024-06-07 07:43:07,909 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=61c60f78-7b77-4324-911d-f0a34c4ddd77(d79a08688f92/10.9.0.13)} | ret=SUCCESS |  
2024-06-07 07:43:08,163 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-06-07 07:43:09,831 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ef7096d-7507-4223-b5cc-8e7081a327fa, term=3, command=[]} | ret=SUCCESS |  
2024-06-07 07:43:09,846 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=61c60f78-7b77-4324-911d-f0a34c4ddd77, term=3, command=[]} | ret=SUCCESS |  
2024-06-07 07:43:09,865 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a3c91d28-cec3-4fc4-b236-b7ef6ea1fa53, term=3, command=[]} | ret=SUCCESS |  
2024-06-07 07:43:11,343 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a3c91d28-cec3-4fc4-b236-b7ef6ea1fa53, term=3, command=[]} | ret=SUCCESS |  
2024-06-07 07:43:11,413 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=61c60f78-7b77-4324-911d-f0a34c4ddd77, term=3, command=[]} | ret=SUCCESS |  
2024-06-07 07:43:11,526 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ef7096d-7507-4223-b5cc-8e7081a327fa, term=3, command=[]} | ret=SUCCESS |  
2024-06-07 07:43:12,522 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=61c60f78-7b77-4324-911d-f0a34c4ddd77, term=3, command=[]} | ret=SUCCESS |  
2024-06-07 07:43:12,557 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ef7096d-7507-4223-b5cc-8e7081a327fa, term=3, command=[]} | ret=SUCCESS |  
