2024-06-07 07:43:58,771 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 07:43:58,771 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 07:43:58,771 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 07:44:00,650 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-06-07 07:44:00,656 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-06-07 07:44:00,667 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-06-07 07:44:00,688 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-06-07 07:44:01,096 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=61c60f78-7b77-4324-911d-f0a34c4ddd77(42541695bf0c/10.9.0.13)} | ret=SUCCESS |  
2024-06-07 07:44:01,097 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=2ef7096d-7507-4223-b5cc-8e7081a327fa(3281227a7e41/10.9.0.11)} | ret=SUCCESS |  
2024-06-07 07:44:01,101 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=a3c91d28-cec3-4fc4-b236-b7ef6ea1fa53(7d662c1ae95e/10.9.0.12)} | ret=SUCCESS |  
2024-06-07 07:44:01,834 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-06-07 07:44:03,062 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ef7096d-7507-4223-b5cc-8e7081a327fa, term=4, command=[]} | ret=SUCCESS |  
2024-06-07 07:44:03,075 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=61c60f78-7b77-4324-911d-f0a34c4ddd77, term=4, command=[]} | ret=SUCCESS |  
2024-06-07 07:44:03,097 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a3c91d28-cec3-4fc4-b236-b7ef6ea1fa53, term=4, command=[]} | ret=SUCCESS |  
2024-06-07 07:44:04,671 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=a3c91d28-cec3-4fc4-b236-b7ef6ea1fa53, term=4, command=[]} | ret=SUCCESS |  
2024-06-07 07:44:04,672 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=61c60f78-7b77-4324-911d-f0a34c4ddd77, term=4, command=[]} | ret=SUCCESS |  
2024-06-07 07:44:04,673 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ef7096d-7507-4223-b5cc-8e7081a327fa, term=4, command=[]} | ret=SUCCESS |  
2024-06-07 07:44:05,592 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=61c60f78-7b77-4324-911d-f0a34c4ddd77, term=4, command=[]} | ret=SUCCESS |  
2024-06-07 07:44:05,632 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=2ef7096d-7507-4223-b5cc-8e7081a327fa, term=4, command=[]} | ret=SUCCESS |  
2024-06-07 07:44:22,563 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {replication=RATIS/ONE, owner=omservice, size=268435456, num=1, client=, allocated=1} | ret=SUCCESS |  
2024-06-07 07:44:26,428 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#6,} | ret=SUCCESS |  
