2024-06-07 08:12:51,615 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 08:12:51,615 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 08:12:51,615 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 08:12:51,621 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-07 08:12:51,939 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-06-07 08:12:52,741 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-06-07 08:12:53,008 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=03df5b2e-faa5-4eae-83f5-747257ddd38e(285f0a6918b5/10.9.0.12)} | ret=SUCCESS |  
2024-06-07 08:12:53,220 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=26f0cc55-38fb-4b14-96f7-41ae83f86e17(81119ffc6188/10.9.0.11)} | ret=SUCCESS |  
2024-06-07 08:12:53,357 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-06-07 08:12:53,587 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=7db6b945-a7fb-4733-a271-74e5e863fc6f(4ad30c1f2fba/10.9.0.13)} | ret=SUCCESS |  
2024-06-07 08:12:53,807 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-06-07 08:12:54,357 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-06-07 08:12:54,809 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
