2024-06-29 10:27:38,696 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-06-29 10:27:39,443 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=volscvnh, creationTime=1719656859398, modificationTime=1719656859398, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2024-06-29 10:27:41,746 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-06-29 10:27:42,349 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_VOLUME {volume=volscvnh} | ret=SUCCESS |  
2024-06-29 10:27:42,407 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=CREATE_BUCKET {volume=volscvnh, bucket=default, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1719656862399, bucketEncryptionKey=null, modificationTime=1719656862399, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1} | ret=SUCCESS |  
2024-06-29 10:27:44,679 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-06-29 10:27:45,236 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_VOLUME {volume=volscvnh} | ret=SUCCESS |  
2024-06-29 10:27:45,302 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=CREATE_BUCKET {volume=volscvnh, bucket=ratis, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1719656865297, bucketEncryptionKey=null, modificationTime=1719656865297, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=RATIS, replicationConfig=THREE, quotaInBytes=-1, quotaInNamespace=-1} | ret=SUCCESS |  
2024-06-29 10:27:47,567 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-06-29 10:27:48,116 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_VOLUME {volume=volscvnh} | ret=SUCCESS |  
2024-06-29 10:27:48,181 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=CREATE_BUCKET {volume=volscvnh, bucket=ecbucket, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1719656868176, bucketEncryptionKey=null, modificationTime=1719656868176, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=EC, replicationConfig=rs-3-2-1024k, quotaInBytes=-1, quotaInNamespace=-1} | ret=SUCCESS |  
2024-06-29 10:27:50,559 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-06-29 10:27:51,157 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_VOLUME {volume=volscvnh} | ret=SUCCESS |  
2024-06-29 10:27:51,178 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_BUCKET {volume=volscvnh, bucket=default} | ret=SUCCESS |  
2024-06-29 10:27:51,233 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_BUCKET {volume=volscvnh, bucket=default} | ret=SUCCESS |  
2024-06-29 10:27:51,364 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=ALLOCATE_KEY {volume=volscvnh, bucket=default, key=3mb, dataSize=3145728, replicationType=NONE} | ret=SUCCESS |  
2024-06-29 10:27:53,014 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=COMMIT_KEY {volume=volscvnh, bucket=default, key=3mb, dataSize=3145728, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2024-06-29 10:27:55,671 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-06-29 10:27:56,229 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_VOLUME {volume=volscvnh} | ret=SUCCESS |  
2024-06-29 10:27:56,247 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_BUCKET {volume=volscvnh, bucket=ratis} | ret=SUCCESS |  
2024-06-29 10:27:56,287 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_BUCKET {volume=volscvnh, bucket=ratis} | ret=SUCCESS |  
2024-06-29 10:27:56,296 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=ALLOCATE_KEY {volume=volscvnh, bucket=ratis, key=3mb, dataSize=3145728, replicationType=NONE} | ret=SUCCESS |  
2024-06-29 10:27:57,310 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=COMMIT_KEY {volume=volscvnh, bucket=ratis, key=3mb, dataSize=3145728, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2024-06-29 10:27:59,772 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-06-29 10:28:00,388 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_VOLUME {volume=volscvnh} | ret=SUCCESS |  
2024-06-29 10:28:00,407 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_BUCKET {volume=volscvnh, bucket=ecbucket} | ret=SUCCESS |  
2024-06-29 10:28:00,441 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=READ_BUCKET {volume=volscvnh, bucket=ecbucket} | ret=SUCCESS |  
2024-06-29 10:28:00,465 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=ALLOCATE_KEY {volume=volscvnh, bucket=ecbucket, key=3mb, dataSize=3145728, replicationType=NONE} | ret=SUCCESS |  
2024-06-29 10:28:02,036 | INFO  | OMAudit | user=hadoop | ip=172.25.0.6 | op=COMMIT_KEY {volume=volscvnh, bucket=ecbucket, key=3mb, dataSize=3145728, replicationType=EC, replicationConfig=rs-3-2-1048576} | ret=SUCCESS |  
