2024-06-29 10:32:46,885 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.15 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-29 10:32:46,884 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.16 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-29 10:32:46,885 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-29 10:32:46,885 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-29 10:32:46,886 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-29 10:32:46,892 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-29 10:32:46,893 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.15 | op=GET_VERSION null | ret=SUCCESS |  
2024-06-29 10:32:47,695 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.11 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-06-29 10:32:48,447 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.9 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-06-29 10:32:49,244 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.2 | op=REGISTER {datanodeDetails=ddb8d6f6-ca4e-4b20-9245-b82b3b337197(77646d653537/172.26.0.2)} | ret=SUCCESS |  
2024-06-29 10:32:49,253 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.6 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-06-29 10:32:49,734 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.15 | op=REGISTER {datanodeDetails=c97a73a3-2585-4991-86df-c7d40a5c8368(4a9171a725e8/172.26.0.15)} | ret=SUCCESS |  
2024-06-29 10:32:50,194 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.13 | op=REGISTER {datanodeDetails=5eeeba2c-218c-4515-bb5b-a7c5ef7d1600(032387d99e7a/172.26.0.13)} | ret=SUCCESS |  
2024-06-29 10:32:50,289 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.14 | op=REGISTER {datanodeDetails=d888a573-1a8c-434f-9246-0d5108c0305b(aba9d7c615d8/172.26.0.14)} | ret=SUCCESS |  
2024-06-29 10:32:50,345 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.11 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-06-29 10:32:50,597 | INFO  | SCMAudit | user=hadoop | ip=172.26.0.16 | op=REGISTER {datanodeDetails=06e5ce44-28ec-4a5c-ae22-f4a6ee32e772(4d9f354eef37/172.26.0.16)} | ret=SUCCESS |  
