2024-09-13 07:46:07,269 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-09-13 07:46:07,941 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=volgq4hk, creationTime=1726213567875, modificationTime=1726213567875, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1, Transaction=1} | ret=SUCCESS |  
2024-09-13 07:46:10,401 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-09-13 07:46:11,029 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=volgq4hk} | ret=SUCCESS |  
2024-09-13 07:46:11,115 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=CREATE_BUCKET {volume=volgq4hk, bucket=default, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1726213571107, bucketEncryptionKey=null, modificationTime=1726213571107, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=3} | ret=SUCCESS |  
2024-09-13 07:46:13,346 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-09-13 07:46:13,952 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=volgq4hk} | ret=SUCCESS |  
2024-09-13 07:46:14,008 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=CREATE_BUCKET {volume=volgq4hk, bucket=ratis, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1726213574003, bucketEncryptionKey=null, modificationTime=1726213574003, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=RATIS, replicationConfig=THREE, quotaInBytes=-1, quotaInNamespace=-1, Transaction=5} | ret=SUCCESS |  
2024-09-13 07:46:16,281 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-09-13 07:46:16,850 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=volgq4hk} | ret=SUCCESS |  
2024-09-13 07:46:16,913 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=CREATE_BUCKET {volume=volgq4hk, bucket=ecbucket, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1726213576909, bucketEncryptionKey=null, modificationTime=1726213576909, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=EC, replicationConfig=rs-3-2-1024k, quotaInBytes=-1, quotaInNamespace=-1, Transaction=7} | ret=SUCCESS |  
2024-09-13 07:46:19,190 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-09-13 07:46:19,797 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=volgq4hk} | ret=SUCCESS |  
2024-09-13 07:46:19,815 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=volgq4hk, bucket=default} | ret=SUCCESS |  
2024-09-13 07:46:19,876 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=volgq4hk, bucket=default} | ret=SUCCESS |  
2024-09-13 07:46:20,009 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=ALLOCATE_KEY {volume=volgq4hk, bucket=default, key=3mb, dataSize=3145728, replicationType=NONE, Transaction=9} | ret=SUCCESS |  
2024-09-13 07:46:21,861 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=COMMIT_KEY {volume=volgq4hk, bucket=default, key=3mb, dataSize=3145728, replicationType=RATIS, replicationFactor=THREE, Transaction=11} | ret=SUCCESS |  
2024-09-13 07:46:24,540 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2024-09-13 07:46:25,122 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_VOLUME {volume=volgq4hk} | ret=SUCCESS |  
2024-09-13 07:46:25,139 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=volgq4hk, bucket=ratis} | ret=SUCCESS |  
2024-09-13 07:46:25,178 | INFO  | OMAudit | user=hadoop | ip=172.25.0.12 | op=READ_BUCKET {volume=volgq4hk, bucket=ratis} | ret=SUCCESS |  
