2024-09-15 17:04:16,577 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2024-09-15 17:04:16,571 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2024-09-15 17:04:16,571 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2024-09-15 17:04:16,569 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-09-15 17:04:16,569 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-09-15 17:04:16,569 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2024-09-15 17:04:17,802 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=REGISTER {datanodeDetails=aedbd5be-6716-47db-b762-61352ee7ccf1(fae1fdd434a3/172.24.0.13)} | ret=SUCCESS |  
2024-09-15 17:04:18,358 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.6 | op=GET_SCM_INFO null | ret=SUCCESS |  
2024-09-15 17:04:18,425 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-09-15 17:04:18,588 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.9 | op=LIST_PIPELINE null | ret=SUCCESS |  
2024-09-15 17:04:18,825 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.14 | op=REGISTER {datanodeDetails=46036221-c904-4505-bd9a-251f1969f0c6(2ff90c56d67d/172.24.0.14)} | ret=SUCCESS |  
2024-09-15 17:04:18,885 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=REGISTER {datanodeDetails=6cbd1270-f94a-4a12-9f67-802c9a35744d(c641c4c71162/172.24.0.10)} | ret=SUCCESS |  
2024-09-15 17:04:19,567 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2024-09-15 17:04:19,816 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=SEND_HEARTBEAT {datanodeUUID=aedbd5be-6716-47db-b762-61352ee7ccf1, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "180ebecd-8cb6-4d17-a74d-8e106784de40" uuid128 { mostSigBits: 1733532696622550295 leastSigBits: -6391296095061483968 } } type: RATIS factor: ONE datanode { uuid: "aedbd5be-6716-47db-b762-61352ee7ccf1" ipAddress: "172.24.0.13" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aedbd5be-6716-47db-b762-61352ee7ccf1" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5846844677460441125 leastSigBits: -5232512936002990863 } } cmdId: 1726419857801 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "6117a556-38ad-47ac-aefe-08179e3b3fa2" uuid128 { mostSigBits: 6996242335880005548 leastSigBits: -5837219169493631070 } } type: RATIS factor: THREE datanode { uuid: "6cbd1270-f94a-4a12-9f67-802c9a35744d" ipAddress: "172.24.0.10" hostName: "xcompat-datanode-3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6cbd1270-f94a-4a12-9f67-802c9a35744d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7835439203122563602 leastSigBits: -6960453770023701427 } } datanode { uuid: "aedbd5be-6716-47db-b762-61352ee7ccf1" ipAddress: "172.24.0.13" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aedbd5be-6716-47db-b762-61352ee7ccf1" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5846844677460441125 leastSigBits: -5232512936002990863 } } datanode { uuid: "46036221-c904-4505-bd9a-251f1969f0c6" ipAddress: "172.24.0.14" hostName: "xcompat-datanode-2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "46036221-c904-4505-bd9a-251f1969f0c6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5044983904831030533 leastSigBits: -4784470838627143482 } } cmdId: 1726419857804 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "fa82a28d-9715-4350-9470-a1814d506943" uuid128 { mostSigBits: -395575088246340784 leastSigBits: -7750517381984655037 } } type: RATIS factor: THREE datanode { uuid: "aedbd5be-6716-47db-b762-61352ee7ccf1" ipAddress: "172.24.0.13" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "aedbd5be-6716-47db-b762-61352ee7ccf1" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: -5846844677460441125 leastSigBits: -5232512936002990863 } } datanode { uuid: "46036221-c904-4505-bd9a-251f1969f0c6" ipAddress: "172.24.0.14" hostName: "xcompat-datanode-2.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "46036221-c904-4505-bd9a-251f1969f0c6" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 5044983904831030533 leastSigBits: -4784470838627143482 } } datanode { uuid: "6cbd1270-f94a-4a12-9f67-802c9a35744d" ipAddress: "172.24.0.10" hostName: "xcompat-datanode-3.xcompat_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "6cbd1270-f94a-4a12-9f67-802c9a35744d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 uuid128 { mostSigBits: 7835439203122563602 leastSigBits: -6960453770023701427 } } cmdId: 1726419857805 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2024-09-15 17:04:20,573 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
