2024-10-28 21:33:23,373 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2024-10-28 21:33:23,376 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2024-10-28 21:33:23,382 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2024-10-28 21:33:23,383 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2024-10-28 21:33:27,726 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=REGISTER {datanodeDetails=4f120209-190a-4b5e-ab5a-e9fb13c3023a(ozone-balancer-datanode4-1.ozone-balancer_default/172.19.0.7)} | ret=SUCCESS |  
2024-10-28 21:33:28,396 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=REGISTER {datanodeDetails=cad80921-b84b-4792-a5cc-8a980326aefe(ozone-balancer-datanode6-1.ozone-balancer_default/172.19.0.11)} | ret=SUCCESS |  
2024-10-28 21:33:28,696 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=REGISTER {datanodeDetails=92eec866-e90d-43df-8d23-22f95a5958ca(ozone-balancer-datanode3-1.ozone-balancer_default/172.19.0.13)} | ret=SUCCESS |  
2024-10-28 21:33:28,815 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=REGISTER {datanodeDetails=7710218d-f5f3-4bee-856f-2aa6644444b6(ozone-balancer-datanode1-1.ozone-balancer_default/172.19.0.6)} | ret=SUCCESS |  
2024-10-28 21:33:28,935 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4f120209-190a-4b5e-ab5a-e9fb13c3023a, command=[]} | ret=SUCCESS |  
2024-10-28 21:33:29,762 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=cad80921-b84b-4792-a5cc-8a980326aefe, command=[]} | ret=SUCCESS |  
2024-10-28 21:33:30,173 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=SEND_HEARTBEAT {datanodeUUID=92eec866-e90d-43df-8d23-22f95a5958ca, command=[]} | ret=SUCCESS |  
2024-10-28 21:33:35,756 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=SEND_HEARTBEAT {datanodeUUID=92eec866-e90d-43df-8d23-22f95a5958ca, command=[]} | ret=SUCCESS |  
