2025-01-02 17:26:15,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2025-01-02 17:26:15,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2025-01-02 17:26:15,524 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2025-01-02 17:26:15,524 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2025-01-02 17:26:16,904 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=ef7f6921-0c82-48f3-a677-36cb8805c804(43c51df03c91/172.18.0.5)} | ret=SUCCESS |  
2025-01-02 17:26:16,971 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=52595972-f1ed-458a-bf3a-2770b03c4225(cc90df7e3a8d/172.18.0.9)} | ret=SUCCESS |  
2025-01-02 17:26:17,176 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-01-02 17:26:17,339 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-01-02 17:26:17,437 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-01-02 17:26:17,644 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=fee5eb55-f034-4fbd-a7b7-b02446adfadd(f2ab7e0cc1af/172.18.0.8)} | ret=SUCCESS |  
2025-01-02 17:26:18,781 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE null | ret=SUCCESS |  
