2025-01-04 10:57:01,698 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2025-01-04 10:57:01,700 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2025-01-04 10:57:01,700 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2025-01-04 10:57:01,712 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2025-01-04 10:57:06,068 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=REGISTER {datanodeDetails=34077cd0-7c90-4ff3-a9eb-1c8b8e23c757(ozone-balancer-datanode4-1.ozone-balancer_default/172.19.0.2)} | ret=SUCCESS |  
2025-01-04 10:57:07,022 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=REGISTER {datanodeDetails=a646e353-f483-4df1-afd2-80f64effd55d(ozone-balancer-datanode3-1.ozone-balancer_default/172.19.0.7)} | ret=SUCCESS |  
2025-01-04 10:57:07,125 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=REGISTER {datanodeDetails=6c24107f-27c3-484c-b99e-96d4464c0897(ozone-balancer-datanode1-1.ozone-balancer_default/172.19.0.10)} | ret=SUCCESS |  
2025-01-04 10:57:07,236 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=REGISTER {datanodeDetails=7abee973-9058-46d6-af69-e0799f57e448(ozone-balancer-datanode6-1.ozone-balancer_default/172.19.0.3)} | ret=SUCCESS |  
2025-01-04 10:57:07,437 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=34077cd0-7c90-4ff3-a9eb-1c8b8e23c757, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:08,379 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=a646e353-f483-4df1-afd2-80f64effd55d, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:08,737 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6c24107f-27c3-484c-b99e-96d4464c0897, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:12,822 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=34077cd0-7c90-4ff3-a9eb-1c8b8e23c757, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:27,225 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=7abee973-9058-46d6-af69-e0799f57e448, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:28,380 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=a646e353-f483-4df1-afd2-80f64effd55d, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:28,738 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6c24107f-27c3-484c-b99e-96d4464c0897, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:32,815 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=34077cd0-7c90-4ff3-a9eb-1c8b8e23c757, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:47,225 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=7abee973-9058-46d6-af69-e0799f57e448, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:48,383 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=a646e353-f483-4df1-afd2-80f64effd55d, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:48,743 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6c24107f-27c3-484c-b99e-96d4464c0897, command=[]} | ret=SUCCESS |  
2025-01-04 10:57:52,806 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=34077cd0-7c90-4ff3-a9eb-1c8b8e23c757, command=[]} | ret=SUCCESS |  
2025-01-04 10:58:07,222 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=7abee973-9058-46d6-af69-e0799f57e448, command=[]} | ret=SUCCESS |  
2025-01-04 10:58:08,379 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=a646e353-f483-4df1-afd2-80f64effd55d, command=[]} | ret=SUCCESS |  
2025-01-04 10:58:08,736 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6c24107f-27c3-484c-b99e-96d4464c0897, command=[]} | ret=SUCCESS |  
2025-01-04 10:58:12,807 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=34077cd0-7c90-4ff3-a9eb-1c8b8e23c757, command=[]} | ret=SUCCESS |  
2025-01-04 10:58:27,223 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=7abee973-9058-46d6-af69-e0799f57e448, command=[]} | ret=SUCCESS |  
2025-01-04 10:58:28,376 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=SEND_HEARTBEAT {datanodeUUID=a646e353-f483-4df1-afd2-80f64effd55d, command=[]} | ret=SUCCESS |  
2025-01-04 10:58:28,737 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=SEND_HEARTBEAT {datanodeUUID=6c24107f-27c3-484c-b99e-96d4464c0897, command=[]} | ret=SUCCESS |  
2025-01-04 10:58:32,808 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=34077cd0-7c90-4ff3-a9eb-1c8b8e23c757, command=[]} | ret=SUCCESS |  
