2025-02-23 09:26:51,197 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2025-02-23 09:26:51,197 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2025-02-23 09:26:51,197 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2025-02-23 09:26:51,256 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-02-23 09:26:51,483 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-02-23 09:26:52,128 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:26:52,229 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=51ef43f7-0bd3-49d6-ae22-5190c8b22dbc(56f85da3eaa8/10.9.0.13)} | ret=SUCCESS |  
2025-02-23 09:26:52,327 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=4caa1e18-dd5d-40d0-aac9-9f675a0d7883(27b1f8a485e2/10.9.0.11)} | ret=SUCCESS |  
2025-02-23 09:26:52,514 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=dccfa9f0-7d53-457b-b0b3-989d4a00c35c(d47717964471/10.9.0.12)} | ret=SUCCESS |  
2025-02-23 09:26:52,711 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-02-23 09:26:53,202 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-02-23 09:26:54,214 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
