2025-03-04 04:16:04,147 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-04 04:16:04,756 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=REGISTER {datanodeDetails=3f5e1dbb-0bc6-4d8b-b699-2ad77c48bc2d(d0ce23ef2d32/172.20.0.3)} | ret=SUCCESS |  
2025-03-04 04:16:06,757 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=3f5e1dbb-0bc6-4d8b-b699-2ad77c48bc2d, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "159da661-0e8d-4673-a708-2808f7f0894f" uuid128 { mostSigBits: 1557583981926237811 leastSigBits: -6410830050577315505 } } type: RATIS factor: ONE datanode { uuid: "3f5e1dbb-0bc6-4d8b-b699-2ad77c48bc2d" ipAddress: "172.20.0.3" hostName: "ozonescripts-datanode-1.ozonescripts_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "STANDALONE" value: 9859 } networkName: "3f5e1dbb-0bc6-4d8b-b699-2ad77c48bc2d" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 4566119761393896843 leastSigBits: -5289149182378460115 } level: 3 id { uuid { mostSigBits: 4566119761393896843 leastSigBits: -5289149182378460115 } } } cmdId: 1741061764760 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0 ]} | ret=SUCCESS |  
2025-03-04 04:16:07,819 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=3f5e1dbb-0bc6-4d8b-b699-2ad77c48bc2d, term=2, command=[]} | ret=SUCCESS |  
2025-03-04 04:16:10,321 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-03-04 04:16:12,979 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=3f5e1dbb-0bc6-4d8b-b699-2ad77c48bc2d, term=2, command=[]} | ret=SUCCESS |  
2025-03-04 04:16:15,704 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-03-04 04:16:26,819 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {replication=RATIS/ONE, owner=omServiceIdDefault, size=268435456, num=1, client=, allocated=1} | ret=SUCCESS |  
2025-03-04 04:16:27,588 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=3f5e1dbb-0bc6-4d8b-b699-2ad77c48bc2d, term=2, command=[]} | ret=SUCCESS |  
2025-03-04 04:16:30,375 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#1,} | ret=SUCCESS |  
2025-03-04 04:16:33,595 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-03-04 04:16:35,019 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-03-04 04:16:36,465 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-03-04 04:16:38,015 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-03-04 04:16:39,462 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-03-04 04:16:41,034 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=DEACTIVATE_PIPELINE {pipelineID=159da661-0e8d-4673-a708-2808f7f0894f} | ret=SUCCESS |  
2025-03-04 04:16:42,402 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-03-04 04:16:43,850 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ACTIVATE_PIPELINE {pipelineID=159da661-0e8d-4673-a708-2808f7f0894f} | ret=SUCCESS |  
2025-03-04 04:16:45,243 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-03-04 04:16:46,702 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=CLOSE_PIPELINE {pipelineID=159da661-0e8d-4673-a708-2808f7f0894f} | ret=SUCCESS |  
2025-03-04 04:16:48,116 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-03-04 04:16:50,729 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=CREATE_PIPELINE {replicationFactor=ONE, replicationType=RATIS} | ret=SUCCESS |  
