2025-03-04 05:06:26,605 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-04 05:06:26,605 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-04 05:06:26,606 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-04 05:06:26,837 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-03-04 05:06:26,838 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-03-04 05:06:26,862 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-03-04 05:06:28,049 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-04 05:06:29,075 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {datanodeDetails=682174a7-99ab-488a-b07e-33483a68b874(1bad6b8d0542/10.9.0.13)} | ret=SUCCESS |  
2025-03-04 05:06:29,081 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {datanodeDetails=ccfb0798-0ac5-4965-8415-693c789042d2(16feed288068/10.9.0.12)} | ret=SUCCESS |  
2025-03-04 05:06:29,086 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {datanodeDetails=839732b7-49e4-475c-9bdd-bef37cbba4af(841e6c0a7a7e/10.9.0.11)} | ret=SUCCESS |  
2025-03-04 05:06:29,145 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-04 05:06:31,042 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=839732b7-49e4-475c-9bdd-bef37cbba4af, term=3, command=[]} | ret=SUCCESS |  
2025-03-04 05:06:31,042 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=682174a7-99ab-488a-b07e-33483a68b874, term=3, command=[]} | ret=SUCCESS |  
2025-03-04 05:06:31,065 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ccfb0798-0ac5-4965-8415-693c789042d2, term=3, command=[]} | ret=SUCCESS |  
2025-03-04 05:06:32,689 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=839732b7-49e4-475c-9bdd-bef37cbba4af, term=3, command=[]} | ret=SUCCESS |  
2025-03-04 05:06:32,830 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {datanodeUUID=682174a7-99ab-488a-b07e-33483a68b874, term=3, command=[]} | ret=SUCCESS |  
2025-03-04 05:06:33,020 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ccfb0798-0ac5-4965-8415-693c789042d2, term=3, command=[]} | ret=SUCCESS |  
2025-03-04 05:06:33,833 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {datanodeUUID=839732b7-49e4-475c-9bdd-bef37cbba4af, term=3, command=[]} | ret=SUCCESS |  
2025-03-04 05:06:33,856 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {datanodeUUID=ccfb0798-0ac5-4965-8415-693c789042d2, term=3, command=[]} | ret=SUCCESS |  
