2025-03-25 21:26:41,223 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.19.0.4 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-03-25 21:26:49,294 | INFO  | OMAudit | user=testuser2/scm@EXAMPLE.COM | ip=172.19.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-03-25 21:26:50,085 | ERROR | OMAudit | user=testuser2/scm@EXAMPLE.COM | ip=172.19.0.12 | op=CREATE_VOLUME {admin=testuser2, owner=testuser2, volume=fstest, creationTime=1742938010000, modificationTime=1742938010000, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775296, updateID=2, Transaction=2} | ret=FAILURE | PERMISSION_DENIED org.apache.hadoop.ozone.om.exceptions.OMException: User testuser2 doesn't have CREATE permission to access volume Volume:fstest 
	at org.apache.hadoop.ozone.om.OmMetadataReader.checkAcls(OmMetadataReader.java:598)
	at org.apache.hadoop.ozone.om.OmMetadataReader.checkAcls(OmMetadataReader.java:573) 
2025-03-25 21:26:52,408 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.19.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-03-25 21:26:53,191 | INFO  | OMAudit | user=testuser/scm@EXAMPLE.COM | ip=172.19.0.12 | op=CREATE_VOLUME {admin=testuser, owner=testuser2, volume=fstest425, creationTime=1742938013184, modificationTime=1742938013184, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854774784, updateID=4, Transaction=4} | ret=SUCCESS |  
2025-03-25 21:26:55,422 | INFO  | OMAudit | user=testuser2/scm@EXAMPLE.COM | ip=172.19.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2025-03-25 21:26:56,136 | INFO  | OMAudit | user=testuser2/scm@EXAMPLE.COM | ip=172.19.0.12 | op=READ_VOLUME {volume=fstest425} | ret=SUCCESS |  
2025-03-25 21:26:56,183 | INFO  | OMAudit | user=testuser2/scm@EXAMPLE.COM | ip=172.19.0.12 | op=CREATE_BUCKET {volume=fstest425, bucket=bucket1, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:testuser2:a[ACCESS], group:testuser2:rl[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1742938016176, bucketEncryptionKey=null, modificationTime=1742938016176, usedBytes=0, usedNamespace=0, owner=testuser2, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=6} | ret=SUCCESS |  
2025-03-25 21:26:58,307 | INFO  | OMAudit | user=testuser2/scm@EXAMPLE.COM | ip=172.19.0.12 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
