2025-03-27 06:47:37,283 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-27 06:47:37,282 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-27 06:47:37,284 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-27 06:47:37,283 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-27 06:47:47,638 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=REGISTER {datanodeDetails=eec940de-e093-432e-98a6-db472211806a(ozone-balancer-datanode1-1.ozone-balancer_default/172.19.0.3)} | ret=SUCCESS |  
2025-03-27 06:47:48,093 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=REGISTER {datanodeDetails=16e67c68-0442-403f-8feb-01e7bcaf5361(ozone-balancer-datanode6-1.ozone-balancer_default/172.19.0.4)} | ret=SUCCESS |  
2025-03-27 06:47:48,588 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=REGISTER {datanodeDetails=a3962f3c-389c-4c2f-811a-fe96903ae194(ozone-balancer-datanode3-1.ozone-balancer_default/172.19.0.9)} | ret=SUCCESS |  
2025-03-27 06:47:48,892 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:47:49,238 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=REGISTER {datanodeDetails=1edd9531-4db2-485e-b69d-2c2453af29a0(ozone-balancer-datanode4-1.ozone-balancer_default/172.19.0.8)} | ret=SUCCESS |  
2025-03-27 06:47:49,394 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:47:49,948 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:47:54,279 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:09,233 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:09,388 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:09,930 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:14,282 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:29,232 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:29,387 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:29,937 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:34,277 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:49,232 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:49,387 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:49,930 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:48:54,279 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:09,232 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:09,386 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:09,929 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:14,278 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:29,232 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:29,385 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:29,930 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:30,322 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:30,404 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:30,677 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:34,279 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:35,673 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:37,637 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:37,642 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:37,671 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:38,097 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:38,194 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:38,221 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:38,657 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:38,728 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:38,736 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:54,278 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:58,715 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:58,769 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:49:58,777 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:14,279 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:18,657 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:18,730 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:18,745 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:34,277 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:38,653 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:38,730 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=SEND_HEARTBEAT {datanodeUUID=a3962f3c-389c-4c2f-811a-fe96903ae194, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:38,742 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1edd9531-4db2-485e-b69d-2c2453af29a0, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:54,284 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.3 | op=SEND_HEARTBEAT {datanodeUUID=eec940de-e093-432e-98a6-db472211806a, command=[]} | ret=SUCCESS |  
2025-03-27 06:50:58,654 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.4 | op=SEND_HEARTBEAT {datanodeUUID=16e67c68-0442-403f-8feb-01e7bcaf5361, command=[]} | ret=SUCCESS |  
