2025-03-28 08:10:34,869 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:10:34,870 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:10:34,872 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:10:34,872 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:10:34,872 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:10:34,874 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:10:50,545 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=df5759e3-2e16-405f-8ab4-6d8e77606cb7(ozone-balancer-datanode2-1.ozone-balancer_default/172.18.0.10)} | ret=SUCCESS |  
2025-03-28 08:10:50,619 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=4a17c563-c9a5-4007-af2d-184dc9769652(ozone-balancer-datanode5-1.ozone-balancer_default/172.18.0.7)} | ret=SUCCESS |  
2025-03-28 08:10:50,954 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=ddd4df2a-83c4-43bb-ada3-a19c5a55f276(ozone-balancer-datanode4-1.ozone-balancer_default/172.18.0.8)} | ret=SUCCESS |  
2025-03-28 08:10:51,011 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=a07587af-9df9-4a84-840b-a353f2b32673(ozone-balancer-datanode3-1.ozone-balancer_default/172.18.0.4)} | ret=SUCCESS |  
2025-03-28 08:10:51,045 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {datanodeDetails=cf1cdb87-e3e3-4510-952d-b3530bc3e35e(ozone-balancer-datanode6-1.ozone-balancer_default/172.18.0.3)} | ret=SUCCESS |  
2025-03-28 08:10:51,430 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=REGISTER {datanodeDetails=f8ff52f7-fe9e-430f-86e9-423a9ec905c9(ozone-balancer-datanode1-1.ozone-balancer_default/172.18.0.15)} | ret=SUCCESS |  
2025-03-28 08:10:51,808 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=df5759e3-2e16-405f-8ab4-6d8e77606cb7, command=[]} | ret=SUCCESS |  
2025-03-28 08:10:51,901 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=4a17c563-c9a5-4007-af2d-184dc9769652, command=[]} | ret=SUCCESS |  
2025-03-28 08:10:52,419 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=ddd4df2a-83c4-43bb-ada3-a19c5a55f276, command=[]} | ret=SUCCESS |  
