2025-03-28 08:20:49,411 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:20:49,413 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:20:49,413 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:20:49,417 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:20:49,419 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-28 08:20:54,205 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=REGISTER {datanodeDetails=11a1d6bf-3291-414d-b706-5e3bc5a35662(ozone-balancer-datanode6-1.ozone-balancer_default/172.19.0.2)} | ret=SUCCESS |  
2025-03-28 08:20:54,337 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=REGISTER {datanodeDetails=6ecdad6a-9ecb-4d65-a234-9e4fb0f0aeb3(ozone-balancer-datanode4-1.ozone-balancer_default/172.19.0.6)} | ret=SUCCESS |  
2025-03-28 08:20:55,196 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=REGISTER {datanodeDetails=a32f0ba6-e55a-4347-ba79-4f854262e635(ozone-balancer-datanode3-1.ozone-balancer_default/172.19.0.11)} | ret=SUCCESS |  
2025-03-28 08:20:55,288 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=REGISTER {datanodeDetails=5b678f9c-f532-480f-99d9-475c692c9d8a(ozone-balancer-datanode1-1.ozone-balancer_default/172.19.0.10)} | ret=SUCCESS |  
2025-03-28 08:20:55,478 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=11a1d6bf-3291-414d-b706-5e3bc5a35662, command=[]} | ret=SUCCESS |  
2025-03-28 08:20:55,586 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6ecdad6a-9ecb-4d65-a234-9e4fb0f0aeb3, command=[]} | ret=SUCCESS |  
2025-03-28 08:20:56,657 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=a32f0ba6-e55a-4347-ba79-4f854262e635, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:01,012 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6ecdad6a-9ecb-4d65-a234-9e4fb0f0aeb3, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:15,283 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=SEND_HEARTBEAT {datanodeUUID=5b678f9c-f532-480f-99d9-475c692c9d8a, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:15,462 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=11a1d6bf-3291-414d-b706-5e3bc5a35662, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:16,657 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=a32f0ba6-e55a-4347-ba79-4f854262e635, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:21,011 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6ecdad6a-9ecb-4d65-a234-9e4fb0f0aeb3, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:35,282 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=SEND_HEARTBEAT {datanodeUUID=5b678f9c-f532-480f-99d9-475c692c9d8a, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:35,454 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=11a1d6bf-3291-414d-b706-5e3bc5a35662, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:36,650 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=a32f0ba6-e55a-4347-ba79-4f854262e635, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:41,011 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6ecdad6a-9ecb-4d65-a234-9e4fb0f0aeb3, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:55,280 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=SEND_HEARTBEAT {datanodeUUID=5b678f9c-f532-480f-99d9-475c692c9d8a, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:55,456 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=11a1d6bf-3291-414d-b706-5e3bc5a35662, command=[]} | ret=SUCCESS |  
2025-03-28 08:21:56,651 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.11 | op=SEND_HEARTBEAT {datanodeUUID=a32f0ba6-e55a-4347-ba79-4f854262e635, command=[]} | ret=SUCCESS |  
2025-03-28 08:22:01,010 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=SEND_HEARTBEAT {datanodeUUID=6ecdad6a-9ecb-4d65-a234-9e4fb0f0aeb3, command=[]} | ret=SUCCESS |  
2025-03-28 08:22:15,281 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.10 | op=SEND_HEARTBEAT {datanodeUUID=5b678f9c-f532-480f-99d9-475c692c9d8a, command=[]} | ret=SUCCESS |  
2025-03-28 08:22:15,456 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.2 | op=SEND_HEARTBEAT {datanodeUUID=11a1d6bf-3291-414d-b706-5e3bc5a35662, command=[]} | ret=SUCCESS |  
