2025-05-07 06:29:35,530 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_S3_SECRET {Transaction=1, S3GetSecretUser=testuser/s3g@EXAMPLE.COM} | ret=SUCCESS |  
2025-05-07 06:29:37,930 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=CREATE_BUCKET {volume=s3v, bucket=obs-bucket, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1746599377888, bucketEncryptionKey=null, modificationTime=1746599377888, usedBytes=0, usedNamespace=0, owner=testuser, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=3} | ret=SUCCESS |  
2025-05-07 06:29:40,372 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=CREATE_BUCKET {volume=s3v, bucket=leg-bucket, bucketLayout=LEGACY, gdprEnabled=null, acls=[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1746599380356, bucketEncryptionKey=null, modificationTime=1746599380356, usedBytes=0, usedNamespace=0, owner=testuser, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=5} | ret=SUCCESS |  
2025-05-07 06:29:42,579 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=CREATE_BUCKET {volume=s3v, bucket=fso-bucket, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:testuser:a[ACCESS], group:testuser:rl[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1746599382554, bucketEncryptionKey=null, modificationTime=1746599382554, usedBytes=0, usedNamespace=0, owner=testuser, replicationType=null, replicationConfig=null, quotaInBytes=-1, quotaInNamespace=-1, Transaction=7} | ret=SUCCESS |  
2025-05-07 06:31:14,898 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {volume=s3v, bucket=obs-bucket, key=test/, dataSize=268435456, replicationType=NONE, Transaction=9} | ret=SUCCESS |  
2025-05-07 06:31:14,942 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {volume=s3v, bucket=obs-bucket, key=test/, dataSize=0, replicationType=RATIS, replicationFactor=THREE, ETag=d41d8cd98f00b204e9800998ecf8427e, Transaction=11} | ret=SUCCESS |  
2025-05-07 06:31:15,208 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {volume=s3v, bucket=obs-bucket, key=test/testInputStreamStatisticKeys, dataSize=268435456, replicationType=NONE, Transaction=13} | ret=SUCCESS |  
2025-05-07 06:31:15,231 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {volume=s3v, bucket=obs-bucket, key=test/testInputStreamStatisticKeys, dataSize=0, replicationType=RATIS, replicationFactor=THREE, ETag=d41d8cd98f00b204e9800998ecf8427e, Transaction=15} | ret=SUCCESS |  
2025-05-07 06:31:15,431 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {volume=s3v, bucket=obs-bucket, key=test/testInputStreamStatisticKeys, dataSize=0, replicationConfig=RATIS/THREE, Transaction=17} | ret=SUCCESS |  
2025-05-07 06:31:15,591 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {volume=s3v, bucket=obs-bucket, key=test/, dataSize=0, replicationConfig=RATIS/THREE, Transaction=19} | ret=SUCCESS |  
2025-05-07 06:31:15,736 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {volume=s3v, bucket=obs-bucket, key=test/, dataSize=268435456, replicationType=NONE, Transaction=21} | ret=SUCCESS |  
2025-05-07 06:31:15,755 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {volume=s3v, bucket=obs-bucket, key=test/, dataSize=0, replicationType=RATIS, replicationFactor=THREE, ETag=d41d8cd98f00b204e9800998ecf8427e, Transaction=23} | ret=SUCCESS |  
2025-05-07 06:31:15,860 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {volume=s3v, bucket=obs-bucket, key=test/testInputStreamStatisticRead, dataSize=1024, replicationType=NONE, Transaction=25} | ret=SUCCESS |  
2025-05-07 06:31:17,383 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {volume=s3v, bucket=obs-bucket, key=test/testInputStreamStatisticRead, dataSize=1024, replicationType=RATIS, replicationFactor=THREE, ETag=930053e6d45c93ff2666c98bcd9610a1, Transaction=27} | ret=SUCCESS |  
2025-05-07 06:31:18,024 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {volume=s3v, bucket=obs-bucket, key=test/testInputStreamStatisticRead, dataSize=1024, replicationConfig=RATIS/THREE, Transaction=29} | ret=SUCCESS |  
2025-05-07 06:31:18,140 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=DELETE_KEY {volume=s3v, bucket=obs-bucket, key=test/, dataSize=0, replicationConfig=RATIS/THREE, Transaction=31} | ret=SUCCESS |  
2025-05-07 06:31:18,254 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {volume=s3v, bucket=obs-bucket, key=test/, dataSize=268435456, replicationType=NONE, Transaction=33} | ret=SUCCESS |  
2025-05-07 06:31:18,272 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=COMMIT_KEY {volume=s3v, bucket=obs-bucket, key=test/, dataSize=0, replicationType=RATIS, replicationFactor=THREE, ETag=d41d8cd98f00b204e9800998ecf8427e, Transaction=35} | ret=SUCCESS |  
2025-05-07 06:31:18,376 | INFO  | OMAudit | user=testuser/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=ALLOCATE_KEY {volume=s3v, bucket=obs-bucket, key=test/testWriteByteArrays, dataSize=44, replicationType=NONE, Transaction=37} | ret=SUCCESS |  
