2025-05-14 19:10:47,874 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2025-05-14 19:10:47,874 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2025-05-14 19:10:47,874 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2025-05-14 19:10:47,874 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2025-05-14 19:10:47,893 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2025-05-14 19:10:49,153 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-05-14 19:10:49,390 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-05-14 19:10:49,455 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_CONTAINER_COUNT null | ret=SUCCESS |  
2025-05-14 19:10:49,837 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=463a3315-e8e6-49b7-8736-05e6d5fb1c72(050695d56f85/172.18.0.4)} | ret=SUCCESS |  
2025-05-14 19:10:49,835 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=e3935147-c3ca-4e76-90f0-e82bb05462c1(8218a891ced0/172.18.0.8)} | ret=SUCCESS |  
2025-05-14 19:10:49,838 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {datanodeDetails=0406970c-cddd-4320-a7f1-9f054dbbbbe2(61d72ac7aae5/172.18.0.9)} | ret=SUCCESS |  
2025-05-14 19:10:49,838 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_PIPELINE null | ret=SUCCESS |  
