2025-06-02 13:29:12,873 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:29:12,875 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:29:12,875 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:29:12,876 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:29:12,876 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:29:12,876 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:29:12,878 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:29:16,707 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=506ab3af-aeee-4a53-a634-e35cd954bb1c(ozone-balancer-datanode1-1.ozone-balancer_default/172.18.0.8)} | ret=SUCCESS |  
2025-06-02 13:29:16,820 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {datanodeDetails=90f0c121-fa5f-4cfd-b4ee-df7f01aef48b(ozone-balancer-datanode3-1.ozone-balancer_default/172.18.0.3)} | ret=SUCCESS |  
2025-06-02 13:29:17,411 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=1af52b52-2440-4ed6-994d-e2a4c2d275af(ozone-balancer-datanode6-1.ozone-balancer_default/172.18.0.7)} | ret=SUCCESS |  
2025-06-02 13:29:17,439 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=ed261d67-1c95-4324-b139-7eb8ff2e95e2(ozone-balancer-datanode4-1.ozone-balancer_default/172.18.0.4)} | ret=SUCCESS |  
2025-06-02 13:29:18,001 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=506ab3af-aeee-4a53-a634-e35cd954bb1c, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:18,077 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=90f0c121-fa5f-4cfd-b4ee-df7f01aef48b, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:18,761 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=1af52b52-2440-4ed6-994d-e2a4c2d275af, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:24,336 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=1af52b52-2440-4ed6-994d-e2a4c2d275af, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:37,433 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ed261d67-1c95-4324-b139-7eb8ff2e95e2, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:37,971 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=506ab3af-aeee-4a53-a634-e35cd954bb1c, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:38,072 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=90f0c121-fa5f-4cfd-b4ee-df7f01aef48b, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:44,340 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=1af52b52-2440-4ed6-994d-e2a4c2d275af, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:57,429 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ed261d67-1c95-4324-b139-7eb8ff2e95e2, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:57,968 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=506ab3af-aeee-4a53-a634-e35cd954bb1c, command=[]} | ret=SUCCESS |  
2025-06-02 13:29:58,071 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=90f0c121-fa5f-4cfd-b4ee-df7f01aef48b, command=[]} | ret=SUCCESS |  
2025-06-02 13:30:04,339 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=1af52b52-2440-4ed6-994d-e2a4c2d275af, command=[]} | ret=SUCCESS |  
2025-06-02 13:30:17,431 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ed261d67-1c95-4324-b139-7eb8ff2e95e2, command=[]} | ret=SUCCESS |  
