2025-06-02 13:28:53,860 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:28:53,860 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:28:53,860 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:28:53,860 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2025-06-02 13:28:54,709 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=506ab3af-aeee-4a53-a634-e35cd954bb1c(b43a0b2690a5/172.18.0.8)} | ret=SUCCESS |  
2025-06-02 13:28:54,826 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {datanodeDetails=90f0c121-fa5f-4cfd-b4ee-df7f01aef48b(76465586a3de/172.18.0.3)} | ret=SUCCESS |  
2025-06-02 13:28:55,415 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=1af52b52-2440-4ed6-994d-e2a4c2d275af(79409e6d388e/172.18.0.7)} | ret=SUCCESS |  
2025-06-02 13:28:55,443 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {datanodeDetails=ed261d67-1c95-4324-b139-7eb8ff2e95e2(061a1f517b37/172.18.0.4)} | ret=SUCCESS |  
2025-06-02 13:28:56,715 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=506ab3af-aeee-4a53-a634-e35cd954bb1c, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3c640f04-ebad-4d70-bd6d-4adfd21b029c" uuid128 { mostSigBits: 4351619653755030896 leastSigBits: -4797095702916562276 } } type: RATIS factor: THREE datanode { uuid: "90f0c121-fa5f-4cfd-b4ee-df7f01aef48b" ipAddress: "172.18.0.3" hostName: "ozone-balancer-datanode3-1.ozone-balancer_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "90f0c121-fa5f-4cfd-b4ee-df7f01aef48b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -8002684186158740227 leastSigBits: -5409140365843303285 } level: 3 id { uuid { mostSigBits: -8002684186158740227 leastSigBits: -5409140365843303285 } } } datanode { uuid: "506ab3af-aeee-4a53-a634-e35cd954bb1c" ipAddress: "172.18.0.8" hostName: "ozone-balancer-datanode1-1.ozone-balancer_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "506ab3af-aeee-4a53-a634-e35cd954bb1c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 5794641437701065299 leastSigBits: -6470296776701854948 } level: 3 id { uuid { mostSigBits: 5794641437701065299 leastSigBits: -6470296776701854948 } } } datanode { uuid: "1af52b52-2440-4ed6-994d-e2a4c2d275af" ipAddress: "172.18.0.7" hostName: "ozone-balancer-datanode6-1.ozone-balancer_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "1af52b52-2440-4ed6-994d-e2a4c2d275af" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 1942506446075743958 leastSigBits: -7400009415428770385 } level: 3 id { uuid { mostSigBits: 1942506446075743958 leastSigBits: -7400009415428770385 } } } cmdId: 1748870935423 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0]} | ret=SUCCESS |  
2025-06-02 13:28:56,761 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-06-02 13:28:56,820 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {datanodeUUID=90f0c121-fa5f-4cfd-b4ee-df7f01aef48b, term=2, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "3c640f04-ebad-4d70-bd6d-4adfd21b029c" uuid128 { mostSigBits: 4351619653755030896 leastSigBits: -4797095702916562276 } } type: RATIS factor: THREE datanode { uuid: "90f0c121-fa5f-4cfd-b4ee-df7f01aef48b" ipAddress: "172.18.0.3" hostName: "ozone-balancer-datanode3-1.ozone-balancer_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "90f0c121-fa5f-4cfd-b4ee-df7f01aef48b" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -8002684186158740227 leastSigBits: -5409140365843303285 } level: 3 id { uuid { mostSigBits: -8002684186158740227 leastSigBits: -5409140365843303285 } } } datanode { uuid: "506ab3af-aeee-4a53-a634-e35cd954bb1c" ipAddress: "172.18.0.8" hostName: "ozone-balancer-datanode1-1.ozone-balancer_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "506ab3af-aeee-4a53-a634-e35cd954bb1c" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 5794641437701065299 leastSigBits: -6470296776701854948 } level: 3 id { uuid { mostSigBits: 5794641437701065299 leastSigBits: -6470296776701854948 } } } datanode { uuid: "1af52b52-2440-4ed6-994d-e2a4c2d275af" ipAddress: "172.18.0.7" hostName: "ozone-balancer-datanode6-1.ozone-balancer_default" ports { name: "HTTP" value: 9882 } ports { name: "CLIENT_RPC" value: 19864 } ports { name: "REPLICATION" value: 9886 } ports { name: "RATIS" value: 9858 } ports { name: "RATIS_ADMIN" value: 9857 } ports { name: "RATIS_SERVER" value: 9856 } ports { name: "RATIS_DATASTREAM" value: 9855 } ports { name: "STANDALONE" value: 9859 } networkName: "1af52b52-2440-4ed6-994d-e2a4c2d275af" networkLocation: "/default-rack" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 1942506446075743958 leastSigBits: -7400009415428770385 } level: 3 id { uuid { mostSigBits: 1942506446075743958 leastSigBits: -7400009415428770385 } } } cmdId: 1748870935423 priority: 0 priority: 0 priority: 1 } term: 2 encodedToken: "" deadlineMsSinceEpoch: 0]} | ret=SUCCESS |  
