2025-07-21 07:52:55,806 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-21 07:52:55,806 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.4 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-21 07:52:55,806 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-21 07:52:55,806 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-21 07:52:55,806 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.6 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-21 07:52:55,806 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-21 07:52:55,806 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-21 07:52:56,405 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.70 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-07-21 07:52:57,266 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.72 | op=GET_CONTAINER_COUNT null | ret=SUCCESS |  
2025-07-21 07:52:57,313 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.4 | op=REGISTER {datanodeDetails=b8dfddc9-9cd4-470d-b9eb-34066beccf17(b0bc053b0ec9/10.5.0.4)} | ret=SUCCESS |  
2025-07-21 07:52:57,402 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.71 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-07-21 07:52:57,742 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.6 | op=REGISTER {datanodeDetails=07d7ef32-8190-4b46-b597-89d5c01ae4f6(9dfb8a4ec9ce/10.5.0.6)} | ret=SUCCESS |  
2025-07-21 07:52:57,748 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.72 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-07-21 07:52:58,351 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.7 | op=REGISTER {datanodeDetails=7dbc1446-3794-4b61-84d8-90f4d71660e6(4e90aec2066a/10.5.0.7)} | ret=SUCCESS |  
2025-07-21 07:52:58,463 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.5 | op=REGISTER {datanodeDetails=df54e7f0-4e87-4912-a043-18914465dfcd(2c98d20200bc/10.5.0.5)} | ret=SUCCESS |  
