2025-09-21 18:35:54,537 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:35:54,537 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:35:54,537 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:35:54,538 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:35:54,538 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:35:54,538 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:35:54,539 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:36:04,759 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=REGISTER {"datanodeDetails":"ecfd59c6-e51a-4e3f-8dc8-33d0ff361fa9(ozone-balancer-datanode1-1.ozone-balancer_default/172.18.0.15)"} | ret=SUCCESS |  
2025-09-21 18:36:04,818 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"5904e22b-d254-43b4-993f-dc6d921091b7(ozone-balancer-datanode5-1.ozone-balancer_default/172.18.0.12)"} | ret=SUCCESS |  
2025-09-21 18:36:04,873 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"d7d92f9f-0910-46f6-b072-bed200103982(ozone-balancer-datanode3-1.ozone-balancer_default/172.18.0.2)"} | ret=SUCCESS |  
2025-09-21 18:36:05,253 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {"datanodeDetails":"08f30c17-c600-4ee8-b147-04ddebd44911(ozone-balancer-datanode6-1.ozone-balancer_default/172.18.0.11)"} | ret=SUCCESS |  
2025-09-21 18:36:05,653 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {"datanodeDetails":"bf3b0701-faf8-4a26-8413-a1a05d56756c(ozone-balancer-datanode4-1.ozone-balancer_default/172.18.0.4)"} | ret=SUCCESS |  
2025-09-21 18:36:05,704 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"ed9129f0-339e-4430-a37f-945de5d506f8(ozone-balancer-datanode2-1.ozone-balancer_default/172.18.0.9)"} | ret=SUCCESS |  
2025-09-21 18:36:06,075 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=SEND_HEARTBEAT {"datanodeUUID":"ecfd59c6-e51a-4e3f-8dc8-33d0ff361fa9","command":"[]"} | ret=SUCCESS |  
2025-09-21 18:36:06,186 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"5904e22b-d254-43b4-993f-dc6d921091b7","command":"[]"} | ret=SUCCESS |  
2025-09-21 18:36:06,310 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"d7d92f9f-0910-46f6-b072-bed200103982","command":"[]"} | ret=SUCCESS |  
2025-09-21 18:36:06,778 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"08f30c17-c600-4ee8-b147-04ddebd44911","command":"[]"} | ret=SUCCESS |  
2025-09-21 18:36:07,421 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"bf3b0701-faf8-4a26-8413-a1a05d56756c","command":"[]"} | ret=SUCCESS |  
2025-09-21 18:36:07,434 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"ed9129f0-339e-4430-a37f-945de5d506f8","command":"[]"} | ret=SUCCESS |  
2025-09-21 18:36:11,974 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"d7d92f9f-0910-46f6-b072-bed200103982","command":"[]"} | ret=SUCCESS |  
