2025-09-21 18:46:29,849 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:46:29,849 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:46:29,849 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:46:29,849 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2025-09-21 18:46:45,148 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {"datanodeDetails":"e94a3c8a-5a29-4763-ae8c-443e4546bfc1(ozone-balancer-datanode6-1.ozone-balancer_default/172.18.0.4)"} | ret=SUCCESS |  
2025-09-21 18:46:45,185 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {"datanodeDetails":"ea6ec339-0693-4612-93d6-784735477572(ozone-balancer-datanode3-1.ozone-balancer_default/172.18.0.3)"} | ret=SUCCESS |  
2025-09-21 18:46:46,086 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"09b6b7e9-4dbb-4b5e-af3b-ba296743d2ff(ozone-balancer-datanode4-1.ozone-balancer_default/172.18.0.12)"} | ret=SUCCESS |  
2025-09-21 18:46:46,519 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"ea6ec339-0693-4612-93d6-784735477572","command":"[]"} | ret=SUCCESS |  
2025-09-21 18:46:46,545 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"e94a3c8a-5a29-4763-ae8c-443e4546bfc1","command":"[]"} | ret=SUCCESS |  
2025-09-21 18:46:46,946 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=REGISTER {"datanodeDetails":"a507fd9b-0753-419f-a6c3-ad31bd473ea8(ozone-balancer-datanode1-1.ozone-balancer_default/172.18.0.13)"} | ret=SUCCESS |  
2025-09-21 18:46:47,490 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"09b6b7e9-4dbb-4b5e-af3b-ba296743d2ff","command":"[]"} | ret=SUCCESS |  
