2025-10-17 15:52:55,555 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-17 15:52:55,555 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-17 15:52:55,555 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-17 15:52:55,555 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-17 15:52:57,010 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {"datanodeDetails":"9c2118cd-99d2-446b-8275-72be16d59449(65020a5a3e61/172.18.0.11)"} | ret=SUCCESS |  
2025-10-17 15:52:57,578 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {"datanodeDetails":"befbfa47-dd43-4f10-af7a-c45e1c9339c0(b444eceec0a5/172.18.0.7)"} | ret=SUCCESS |  
2025-10-17 15:52:57,808 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {"datanodeDetails":"0ed9cebd-9189-4abc-b251-876c523111be(38e278fd7d24/172.18.0.5)"} | ret=SUCCESS |  
2025-10-17 15:52:57,849 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"21215ef6-464d-4749-97ce-ec34712f7ebd(64521b6f088b/172.18.0.8)"} | ret=SUCCESS |  
2025-10-17 15:52:58,683 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-10-17 15:52:59,013 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2025-10-17 15:52:59,026 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"9c2118cd-99d2-446b-8275-72be16d59449","term":"2","command":"[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: \"bd37f184-3b68-4055-96af-44cb368196da\" uuid128 { mostSigBits: -4812112126587420587 leastSigBits: -7588771207512484134 } } type: RATIS factor: THREE datanode { uuid: \"9c2118cd-99d2-446b-8275-72be16d59449\" ipAddress: \"172.18.0.11\" hostName: \"ozone-balancer-datanode1-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"9c2118cd-99d2-446b-8275-72be16d59449\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -7196443458233285525 leastSigBits: -9046198115751324599 } level: 3 id { uuid { mostSigBits: -7196443458233285525 leastSigBits: -9046198115751324599 } } } datanode { uuid: \"befbfa47-dd43-4f10-af7a-c45e1c9339c0\" ipAddress: \"172.18.0.7\" hostName: \"ozone-balancer-datanode3-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"befbfa47-dd43-4f10-af7a-c45e1c9339c0\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: -4684875800787071216 leastSigBits: -5802109261428082240 } level: 3 id { uuid { mostSigBits: -4684875800787071216 leastSigBits: -5802109261428082240 } } } datanode { uuid: \"0ed9cebd-9189-4abc-b251-876c523111be\" ipAddress: \"172.18.0.5\" hostName: \"ozone-balancer-datanode6-1.ozone-balancer_default\" ports { name: \"HTTP\" value: 9882 } ports { name: \"CLIENT_RPC\" value: 19864 } ports { name: \"REPLICATION\" value: 9886 } ports { name: \"RATIS\" value: 9858 } ports { name: \"RATIS_ADMIN\" value: 9857 } ports { name: \"RATIS_SERVER\" value: 9856 } ports { name: \"RATIS_DATASTREAM\" value: 9855 } ports { name: \"STANDALONE\" value: 9859 } networkName: \"0ed9cebd-9189-4abc-b251-876c523111be\" networkLocation: \"/default-rack\" persistedOpState: IN_SERVICE persistedOpStateExpiry: 0 currentVersion: 2 uuid128 { mostSigBits: 1070113700063038140 leastSigBits: -5597543962539650626 } level: 3 id { uuid { mostSigBits: 1070113700063038140 leastSigBits: -5597543962539650626 } } } cmdId: 1760716377815 priority: 1 priority: 0 priority: 0 } term: 2 encodedToken: \"\" deadlineMsSinceEpoch: 0]"} | ret=SUCCESS |  
