2025-10-20 07:54:27,012 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-20 07:54:27,012 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-20 07:54:27,012 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.5 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-20 07:54:27,012 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.7 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-20 07:54:27,012 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.4 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-20 07:54:27,012 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-20 07:54:27,012 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2025-10-20 07:54:27,526 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.72 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2025-10-20 07:54:27,879 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.72 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2025-10-20 07:54:28,311 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.70 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2025-10-20 07:54:28,880 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.8 | op=REGISTER {"datanodeDetails":"ab780af1-02b4-4338-8741-14d8930c3c9d(40b2d51b3ecd/10.5.0.8)"} | ret=SUCCESS |  
2025-10-20 07:54:28,920 | INFO  | SCMAudit | user=hadoop | ip=10.5.0.71 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
