2025-12-05 09:44:08,994 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION {} | ret=SUCCESS |  
2025-12-05 09:44:08,997 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2025-12-05 09:44:08,997 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_VERSION {} | ret=SUCCESS |  
2025-12-05 09:44:09,048 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2025-12-05 09:44:10,485 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"153630fe-8203-4dc8-9247-de03da87c2ba(319053c785bc/172.18.0.2)"} | ret=SUCCESS |  
2025-12-05 09:44:10,617 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=REGISTER {"datanodeDetails":"5b35aedc-1ba7-4dd7-9d5b-663f9018a1bd(0ea082b27082/172.18.0.4)"} | ret=SUCCESS |  
2025-12-05 09:44:10,649 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {"datanodeDetails":"1b065452-f5da-4fc7-9d68-f4e7a3ba51b2(03a0234c0e43/172.18.0.3)"} | ret=SUCCESS |  
2025-12-05 09:44:10,995 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"8aeea0a9-d80d-4843-9a47-634870249b20(58d83c0b8fcb/172.18.0.12)"} | ret=SUCCESS |  
2025-12-05 09:44:12,405 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"153630fe-8203-4dc8-9247-de03da87c2ba","command":"[]"} | ret=SUCCESS |  
2025-12-05 09:44:12,596 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=SEND_HEARTBEAT {"datanodeUUID":"5b35aedc-1ba7-4dd7-9d5b-663f9018a1bd","command":"[]"} | ret=SUCCESS |  
2025-12-05 09:44:12,616 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"1b065452-f5da-4fc7-9d68-f4e7a3ba51b2","command":"[]"} | ret=SUCCESS |  
2025-12-05 09:44:12,978 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"8aeea0a9-d80d-4843-9a47-634870249b20","command":"[]"} | ret=SUCCESS |  
2025-12-05 09:44:15,741 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2025-12-05 09:44:17,954 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:19,070 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:20,075 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:21,080 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:22,083 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:23,088 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:24,098 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:25,112 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:26,122 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:27,127 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:28,131 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:29,135 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2025-12-05 09:44:29,600 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=ADD_SCM {"cluster":"CID-e5c81772-ebee-4162-a870-85c135651427","scmId":"d2b3575b-8481-4333-8c9d-621f48c432cd","addr":"scm2:9894"} | ret=SUCCESS |  
2025-12-05 09:44:30,139 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
