2026-01-12 01:28:41,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2026-01-12 01:28:41,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-01-12 01:28:41,523 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-01-12 01:28:43,698 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"628eb5da-25f3-46b6-bd73-7619e6df07a5(046d687c3841/172.18.0.9)"} | ret=SUCCESS |  
2026-01-12 01:28:43,799 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"95b0fe5e-cb53-49c1-a1bf-0d28a96cb3fe(0b4495d672f7/172.18.0.8)"} | ret=SUCCESS |  
2026-01-12 01:28:44,716 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"fcf5b925-f0f6-4b1e-9fb0-570f7c26096d(1d13f957a608/172.18.0.2)"} | ret=SUCCESS |  
2026-01-12 01:28:45,337 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"628eb5da-25f3-46b6-bd73-7619e6df07a5","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:45,689 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"95b0fe5e-cb53-49c1-a1bf-0d28a96cb3fe","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:46,536 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:46,593 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"fcf5b925-f0f6-4b1e-9fb0-570f7c26096d","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:46,959 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-01-12 01:28:47,067 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-01-12 01:28:47,207 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"95b0fe5e-cb53-49c1-a1bf-0d28a96cb3fe","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:47,209 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"fcf5b925-f0f6-4b1e-9fb0-570f7c26096d","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:47,211 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"628eb5da-25f3-46b6-bd73-7619e6df07a5","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:47,572 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-01-12 01:28:47,824 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:48,826 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:49,850 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:50,857 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:50,986 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-01-12 01:28:51,861 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:52,212 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"95b0fe5e-cb53-49c1-a1bf-0d28a96cb3fe","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:52,212 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"fcf5b925-f0f6-4b1e-9fb0-570f7c26096d","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:52,215 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"628eb5da-25f3-46b6-bd73-7619e6df07a5","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:52,372 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"fcf5b925-f0f6-4b1e-9fb0-570f7c26096d","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:52,381 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"fcf5b925-f0f6-4b1e-9fb0-570f7c26096d","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:52,381 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"628eb5da-25f3-46b6-bd73-7619e6df07a5","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:52,391 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"95b0fe5e-cb53-49c1-a1bf-0d28a96cb3fe","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:52,397 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"95b0fe5e-cb53-49c1-a1bf-0d28a96cb3fe","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:52,398 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"628eb5da-25f3-46b6-bd73-7619e6df07a5","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:52,864 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:53,868 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:54,872 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:55,874 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:56,876 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:57,380 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"fcf5b925-f0f6-4b1e-9fb0-570f7c26096d","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:57,396 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"95b0fe5e-cb53-49c1-a1bf-0d28a96cb3fe","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:57,397 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"628eb5da-25f3-46b6-bd73-7619e6df07a5","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:28:57,878 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:58,880 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:28:59,882 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:00,884 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:01,886 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:02,380 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"fcf5b925-f0f6-4b1e-9fb0-570f7c26096d","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:29:02,394 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"95b0fe5e-cb53-49c1-a1bf-0d28a96cb3fe","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:29:02,398 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"628eb5da-25f3-46b6-bd73-7619e6df07a5","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:29:02,889 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:03,891 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:04,893 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:05,895 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:06,897 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:07,378 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"fcf5b925-f0f6-4b1e-9fb0-570f7c26096d","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:29:07,395 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"95b0fe5e-cb53-49c1-a1bf-0d28a96cb3fe","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:29:07,398 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"628eb5da-25f3-46b6-bd73-7619e6df07a5","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 01:29:07,899 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:08,901 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:09,903 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:10,906 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 01:29:11,908 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
