2026-01-12 13:11:15,160 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-01-12 13:11:15,162 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2026-01-12 13:11:15,166 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-01-12 13:11:16,811 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"9c45fe34-6264-4cd0-a796-815fd34f9d54(b72ef1007d57/172.18.0.8)"} | ret=SUCCESS |  
2026-01-12 13:11:17,566 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"cabaef42-3ef7-4b73-9464-5f928793da7d(af380606516d/172.18.0.2)"} | ret=SUCCESS |  
2026-01-12 13:11:17,648 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"1ef40b10-f371-47bc-ad76-782113bf4dfb(ee7510da656b/172.18.0.9)"} | ret=SUCCESS |  
2026-01-12 13:11:18,345 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"9c45fe34-6264-4cd0-a796-815fd34f9d54","command":"[]"} | ret=SUCCESS |  
2026-01-12 13:11:19,490 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"cabaef42-3ef7-4b73-9464-5f928793da7d","command":"[]"} | ret=SUCCESS |  
2026-01-12 13:11:19,584 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"1ef40b10-f371-47bc-ad76-782113bf4dfb","command":"[]"} | ret=SUCCESS |  
2026-01-12 13:11:19,805 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-01-12 13:11:21,560 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-01-12 13:11:21,924 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-12 13:11:21,991 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-01-12 13:11:22,382 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"1ef40b10-f371-47bc-ad76-782113bf4dfb","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-12 13:11:22,386 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"9c45fe34-6264-4cd0-a796-815fd34f9d54","term":"2","command":"[]"} | ret=SUCCESS |  
