2026-01-15 11:00:27,266 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,263 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,264 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96874","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193771"} | ret=SUCCESS |  
2026-01-15 11:00:27,263 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,263 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-01-15 11:00:27,273 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96880","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193772"} | ret=SUCCESS |  
2026-01-15 11:00:27,273 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96877","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193773"} | ret=SUCCESS |  
2026-01-15 11:00:27,274 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96881","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193774"} | ret=SUCCESS |  
2026-01-15 11:00:27,275 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96878","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193775"} | ret=SUCCESS |  
2026-01-15 11:00:27,275 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"nv9sjjv8ec/96891","dataSize":"0","replicationType":"NONE","Transaction":"193776"} | ret=SUCCESS |  
2026-01-15 11:00:27,277 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
