2026-01-29 17:41:58,813 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-01-29 17:41:58,815 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-01-29 17:41:58,815 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2026-01-29 17:42:00,646 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"a084133f-2cca-4d56-b42f-47ae7f29bf3e(3226c8d52cdc/172.18.0.2)"} | ret=SUCCESS |  
2026-01-29 17:42:00,646 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"a392bc4d-45d1-4794-bf19-f7ae8500e403(142c790570a5/172.18.0.8)"} | ret=SUCCESS |  
2026-01-29 17:42:00,816 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"f9830ff8-a2ed-4b06-a835-d0f775f284f2(d958d1d0cf8a/172.18.0.9)"} | ret=SUCCESS |  
2026-01-29 17:42:02,282 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"a084133f-2cca-4d56-b42f-47ae7f29bf3e","command":"[]"} | ret=SUCCESS |  
2026-01-29 17:42:02,322 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"a392bc4d-45d1-4794-bf19-f7ae8500e403","command":"[]"} | ret=SUCCESS |  
2026-01-29 17:42:02,777 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"f9830ff8-a2ed-4b06-a835-d0f775f284f2","command":"[]"} | ret=SUCCESS |  
2026-01-29 17:42:03,559 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-29 17:42:04,694 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-29 17:42:04,753 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-01-29 17:42:05,066 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-01-29 17:42:05,183 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-01-29 17:42:05,373 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"a392bc4d-45d1-4794-bf19-f7ae8500e403","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-29 17:42:05,373 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"f9830ff8-a2ed-4b06-a835-d0f775f284f2","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-29 17:42:05,378 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"a084133f-2cca-4d56-b42f-47ae7f29bf3e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-01-29 17:42:05,696 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-29 17:42:06,701 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-29 17:42:07,704 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-29 17:42:08,184 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-01-29 17:42:08,707 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-01-29 17:42:09,711 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
