2026-02-04 04:52:40,559 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-04 04:52:42,162 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-04 04:52:44,544 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-04 04:52:45,271 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=CREATE_VOLUME {"admin":"hadoop","owner":"hadoop","volume":"topvol1","creationTime":"1770180765221","modificationTime":"1770180765221","quotaInBytes":"-1","quotaInNamespace":"-1","usedNamespace":"0","objectID":"-9223372036854668032","updateID":"421","Transaction":"421"} | ret=SUCCESS |  
2026-02-04 04:52:46,570 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-04 04:52:47,276 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_VOLUME {"volume":"topvol1"} | ret=SUCCESS |  
2026-02-04 04:52:47,330 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=CREATE_BUCKET {"volume":"topvol1","bucket":"bucket1","bucketLayout":"FILE_SYSTEM_OPTIMIZED","gdprEnabled":null,"acls":"[user:hadoop:a[ACCESS], group:hadoop:rl[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1770180767313","bucketEncryptionKey":null,"modificationTime":"1770180767313","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"hadoop","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"422"} | ret=SUCCESS |  
2026-02-04 04:52:48,700 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-04 04:52:49,389 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_VOLUME {"volume":"topvol1"} | ret=SUCCESS |  
2026-02-04 04:52:49,420 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_BUCKET {"volume":"topvol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-04 04:52:49,456 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_BUCKET {"volume":"topvol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-04 04:52:49,585 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=ALLOCATE_KEY {"volume":"topvol1","bucket":"bucket1","key":"key1","dataSize":"15892","replicationType":"NONE","Transaction":"423"} | ret=SUCCESS |  
2026-02-04 04:52:50,530 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=COMMIT_KEY {"volume":"topvol1","bucket":"bucket1","key":"key1","dataSize":"15892","replicationType":"RATIS","replicationFactor":"ONE","Transaction":"424"} | ret=SUCCESS |  
2026-02-04 04:52:52,707 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-04 04:52:53,441 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_VOLUME {"volume":"topvol1"} | ret=SUCCESS |  
2026-02-04 04:52:53,462 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_BUCKET {"volume":"topvol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-04 04:52:53,596 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_KEY {"volume":"topvol1","bucket":"bucket1","key":"key1","owner":null,"dataSize":"0","replicationConfig":null} | ret=SUCCESS |  
