2026-02-04 04:47:10,596 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 04:47:10,596 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 04:47:10,596 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 04:47:11,301 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"5e7c6628-f6b9-47f8-bd96-d9a4d8cf11ac(dn2/10.9.0.12)"} | ret=SUCCESS |  
2026-02-04 04:47:11,301 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"4fb38700-10f1-43ee-9847-c38ade11c64f(dn1/10.9.0.11)"} | ret=SUCCESS |  
2026-02-04 04:47:11,314 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"d14b031d-dc91-409c-ab77-f3ac9feaa53f(dn3/10.9.0.13)"} | ret=SUCCESS |  
2026-02-04 04:47:13,165 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"4fb38700-10f1-43ee-9847-c38ade11c64f","command":"[]"} | ret=SUCCESS |  
2026-02-04 04:47:13,165 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"5e7c6628-f6b9-47f8-bd96-d9a4d8cf11ac","command":"[]"} | ret=SUCCESS |  
2026-02-04 04:47:13,284 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"d14b031d-dc91-409c-ab77-f3ac9feaa53f","command":"[]"} | ret=SUCCESS |  
2026-02-04 04:47:16,639 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-04 04:47:16,942 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:16,975 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-04 04:47:17,021 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-04 04:47:17,980 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:18,983 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:19,985 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:20,988 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:21,990 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:22,417 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-04 04:47:22,993 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:23,447 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-04 04:47:23,687 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-04 04:47:23,996 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:25,000 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:26,003 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:27,006 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:28,012 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:29,014 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:30,017 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:31,019 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:32,024 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:33,027 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:34,029 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:35,031 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:36,033 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:37,035 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:38,036 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:39,038 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:40,040 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:41,042 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:42,044 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:43,046 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 04:47:43,145 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"5e7c6628-f6b9-47f8-bd96-d9a4d8cf11ac","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-04 04:47:43,151 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"4fb38700-10f1-43ee-9847-c38ade11c64f","term":"2","command":"[]"} | ret=SUCCESS |  
