2026-02-04 05:04:58,213 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:04:58,211 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:04:58,214 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:04:59,165 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"57652f17-329a-4a09-9bf0-6afbde87e831(f2ff42fe5857/10.9.0.13)"} | ret=SUCCESS |  
2026-02-04 05:05:00,157 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"c00f1a7a-6fd8-403c-a840-fe1fd8bf89c5(e01ced83d097/10.9.0.11)"} | ret=SUCCESS |  
2026-02-04 05:05:00,855 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"ccd0e434-ac1a-4be6-a0b1-fe51fd1bada8(bd4ec478c416/10.9.0.12)"} | ret=SUCCESS |  
2026-02-04 05:05:01,014 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"57652f17-329a-4a09-9bf0-6afbde87e831","command":"[]"} | ret=SUCCESS |  
2026-02-04 05:05:02,057 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"c00f1a7a-6fd8-403c-a840-fe1fd8bf89c5","command":"[]"} | ret=SUCCESS |  
2026-02-04 05:05:02,820 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"ccd0e434-ac1a-4be6-a0b1-fe51fd1bada8","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-04 05:05:03,405 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 05:05:04,438 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-04 05:05:04,535 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-02-04 05:05:04,536 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
