2026-02-04 05:01:35,130 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:35,132 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:35,132 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:35,132 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:35,129 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:35,132 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:35,132 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:35,130 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:35,129 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:35,143 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-04 05:01:42,027 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=REGISTER {"datanodeDetails":"c4f6c315-b106-4c5a-b679-00a99cba8a77(ozone-ha-datanode-4.ozone-ha_default/172.18.0.15)"} | ret=SUCCESS |  
2026-02-04 05:01:42,223 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=REGISTER {"datanodeDetails":"f8912844-20ae-4d71-a868-eefd980df35a(ozone-ha-datanode-1.ozone-ha_default/172.18.0.13)"} | ret=SUCCESS |  
2026-02-04 05:01:42,395 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=REGISTER {"datanodeDetails":"7c9a8008-0ea0-4612-9fb3-fe61da9c02f9(ozone-ha-datanode-3.ozone-ha_default/172.18.0.12)"} | ret=SUCCESS |  
2026-02-04 05:01:42,562 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=REGISTER {"datanodeDetails":"063e8e1b-57a0-4a4e-8d50-609ce98f2b07(ozone-ha-datanode-2.ozone-ha_default/172.18.0.14)"} | ret=SUCCESS |  
2026-02-04 05:01:42,774 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {"datanodeDetails":"523e548e-d10e-4d9b-82ac-8ea8702a23aa(ozone-ha-datanode-5.ozone-ha_default/172.18.0.7)"} | ret=SUCCESS |  
2026-02-04 05:01:51,337 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {"datanodeUUID":"523e548e-d10e-4d9b-82ac-8ea8702a23aa","command":"[]"} | ret=SUCCESS |  
2026-02-04 05:01:51,338 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.15 | op=SEND_HEARTBEAT {"datanodeUUID":"c4f6c315-b106-4c5a-b679-00a99cba8a77","command":"[]"} | ret=SUCCESS |  
2026-02-04 05:01:51,338 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"063e8e1b-57a0-4a4e-8d50-609ce98f2b07","command":"[]"} | ret=SUCCESS |  
2026-02-04 05:01:51,339 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"f8912844-20ae-4d71-a868-eefd980df35a","command":"[]"} | ret=SUCCESS |  
2026-02-04 05:01:51,341 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"7c9a8008-0ea0-4612-9fb3-fe61da9c02f9","command":"[]"} | ret=SUCCESS |  
2026-02-04 05:01:51,728 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=SEND_HEARTBEAT {"datanodeUUID":"063e8e1b-57a0-4a4e-8d50-609ce98f2b07","command":"[]"} | ret=SUCCESS |  
2026-02-04 05:01:51,738 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"7c9a8008-0ea0-4612-9fb3-fe61da9c02f9","command":"[]"} | ret=SUCCESS |  
