2026-02-11 06:33:52,587 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-11 06:33:52,587 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-11 06:33:52,586 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-11 06:33:53,954 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {"datanodeDetails":"9cc12955-c95c-42d2-b593-7e904c502c1f(fb37c50cb59a/172.18.0.6)"} | ret=SUCCESS |  
2026-02-11 06:33:53,953 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"803fee89-c252-4f93-a984-48ab465fe5bf(4636b972f758/172.18.0.8)"} | ret=SUCCESS |  
2026-02-11 06:33:54,178 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"868a95d5-a5c1-437a-9218-3e37d4bc53bc(d71fbd832171/172.18.0.9)"} | ret=SUCCESS |  
2026-02-11 06:33:55,767 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"9cc12955-c95c-42d2-b593-7e904c502c1f","command":"[]"} | ret=SUCCESS |  
2026-02-11 06:33:55,768 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"803fee89-c252-4f93-a984-48ab465fe5bf","command":"[]"} | ret=SUCCESS |  
2026-02-11 06:33:56,137 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"868a95d5-a5c1-437a-9218-3e37d4bc53bc","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-11 06:33:56,673 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-11 06:33:57,367 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-02-11 06:33:57,472 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-02-11 06:33:57,632 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"9cc12955-c95c-42d2-b593-7e904c502c1f","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-11 06:33:57,637 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"803fee89-c252-4f93-a984-48ab465fe5bf","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-11 06:33:57,637 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"868a95d5-a5c1-437a-9218-3e37d4bc53bc","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-11 06:33:58,035 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 06:33:59,196 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 06:34:00,199 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 06:34:00,203 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-11 06:34:01,202 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 06:34:02,204 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 06:34:02,638 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"868a95d5-a5c1-437a-9218-3e37d4bc53bc","term":"2","command":"[]"} | ret=SUCCESS |  
