2026-02-11 18:11:42,810 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-11 18:11:42,810 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-11 18:11:42,809 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-11 18:11:44,093 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {"datanodeDetails":"43e8c345-84b4-4a2c-acc9-13704b95828c(f19e44d2fcd7/172.18.0.6)"} | ret=SUCCESS |  
2026-02-11 18:11:44,098 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {"datanodeDetails":"8911b723-41dd-4a14-ac1d-eb49731aa6b3(e79901501a8e/172.18.0.7)"} | ret=SUCCESS |  
2026-02-11 18:11:44,103 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {"datanodeDetails":"e2d673b3-34ce-40d8-9eba-7c77be034586(95cfb0ef928e/172.18.0.3)"} | ret=SUCCESS |  
2026-02-11 18:11:45,651 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {"datanodeUUID":"8911b723-41dd-4a14-ac1d-eb49731aa6b3","command":"[]"} | ret=SUCCESS |  
2026-02-11 18:11:45,653 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"43e8c345-84b4-4a2c-acc9-13704b95828c","command":"[]"} | ret=SUCCESS |  
2026-02-11 18:11:45,739 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=SEND_HEARTBEAT {"datanodeUUID":"e2d673b3-34ce-40d8-9eba-7c77be034586","command":"[]"} | ret=SUCCESS |  
2026-02-11 18:11:48,221 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 18:11:48,825 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-11 18:11:49,350 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 18:11:50,353 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 18:11:51,356 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 18:11:51,906 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-11 18:11:52,359 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 18:11:53,362 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-11 18:11:54,367 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
