2026-02-11 18:24:52,918 | INFO  | OMAudit | user=scm/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:24:52,918 | INFO  | OMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:24:55,006 | INFO  | OMAudit | user=scm/scm@EXAMPLE.COM | ip=172.25.0.116 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:25:00,271 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-11 18:25:01,075 | ERROR | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=READ_VOLUME {"volume":"vol1"} | ret=FAILURE | org.apache.hadoop.ozone.om.exceptions.OMException: Volume vol1 is not found
	at org.apache.hadoop.ozone.om.OzoneManager.getVolumeOwner(OzoneManager.java:2670)
	at org.apache.hadoop.ozone.om.OzoneManager.getVolumeOwner(OzoneManager.java:2642)
 
2026-02-11 18:25:01,162 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=CREATE_VOLUME {"admin":"hdfs","owner":"hdfs","volume":"vol1","creationTime":"1770834301119","modificationTime":"1770834301119","quotaInBytes":"-1","quotaInNamespace":"-1","usedNamespace":"0","objectID":"-9223372036854775552","updateID":"1","Transaction":"1"} | ret=SUCCESS |  
2026-02-11 18:25:01,171 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=READ_VOLUME {"volume":"vol1"} | ret=SUCCESS |  
2026-02-11 18:25:01,187 | ERROR | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=FAILURE | org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not found
	at org.apache.hadoop.ozone.om.OzoneManager.getBucketOwner(OzoneManager.java:2717)
	at org.apache.hadoop.ozone.om.OzoneManager.getBucketOwner(OzoneManager.java:2685)
 
2026-02-11 18:25:01,223 | INFO  | OMAudit | user=hdfs/s3g@EXAMPLE.COM | ip=172.25.0.120 | op=CREATE_BUCKET {"volume":"vol1","bucket":"bucket1","bucketLayout":"FILE_SYSTEM_OPTIMIZED","gdprEnabled":null,"acls":"[user:hdfs:a[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1770834301206","bucketEncryptionKey":null,"modificationTime":"1770834301206","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"hdfs","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"2"} | ret=SUCCESS |  
