2026-02-12 16:32:32,926 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-12 16:32:32,932 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-12 16:32:32,932 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-12 16:32:34,842 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"d469f21e-ac2e-46a6-830b-f25190515859(adb13b472aab/10.9.0.11)"} | ret=SUCCESS |  
2026-02-12 16:32:34,955 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"34818f62-e0cf-4834-9e9e-7cba1cbebbff(a3a341a0ac3b/10.9.0.12)"} | ret=SUCCESS |  
2026-02-12 16:32:35,580 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"7e316533-7dbd-4e6f-b486-10995f03999f(fb3d5c2ab202/10.9.0.13)"} | ret=SUCCESS |  
2026-02-12 16:32:36,743 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"d469f21e-ac2e-46a6-830b-f25190515859","command":"[]"} | ret=SUCCESS |  
2026-02-12 16:32:36,930 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"34818f62-e0cf-4834-9e9e-7cba1cbebbff","command":"[]"} | ret=SUCCESS |  
2026-02-12 16:32:37,548 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-12 16:32:37,572 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"7e316533-7dbd-4e6f-b486-10995f03999f","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-12 16:32:39,076 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-12 16:32:39,375 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-02-12 16:32:39,421 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-02-12 16:32:39,682 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"7e316533-7dbd-4e6f-b486-10995f03999f","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-12 16:32:39,713 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"34818f62-e0cf-4834-9e9e-7cba1cbebbff","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-12 16:32:39,716 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"d469f21e-ac2e-46a6-830b-f25190515859","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-12 16:32:40,129 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-12 16:32:40,733 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-12 16:32:41,131 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-12 16:32:42,133 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-12 16:32:43,138 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-12 16:32:44,140 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-12 16:32:45,142 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
