2026-02-12 21:33:48,028 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-12 21:33:48,239 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-12 21:33:49,277 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-12 21:33:50,364 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"cb665d87-135e-4817-9ef9-5c8fc8abc204(dn3/10.9.0.13)"} | ret=SUCCESS |  
2026-02-12 21:33:50,656 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"4a4a3dea-8c94-4428-bdd2-8e1219ce48e1(dn2/10.9.0.12)"} | ret=SUCCESS |  
2026-02-12 21:33:51,575 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"a28461da-cafb-4d08-af65-17466ff50ac5(dn1/10.9.0.11)"} | ret=SUCCESS |  
2026-02-12 21:33:52,347 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"cb665d87-135e-4817-9ef9-5c8fc8abc204","term":"4","command":"[]"} | ret=SUCCESS |  
2026-02-12 21:33:52,651 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4a4a3dea-8c94-4428-bdd2-8e1219ce48e1","term":"4","command":"[]"} | ret=SUCCESS |  
2026-02-12 21:33:53,572 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"a28461da-cafb-4d08-af65-17466ff50ac5","term":"4","command":"[]"} | ret=SUCCESS |  
2026-02-12 21:33:53,803 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"cb665d87-135e-4817-9ef9-5c8fc8abc204","term":"4","command":"[]"} | ret=SUCCESS |  
2026-02-12 21:33:53,872 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-12 21:33:54,068 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-12 21:33:54,117 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-12 21:33:54,147 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-12 21:33:54,515 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4a4a3dea-8c94-4428-bdd2-8e1219ce48e1","term":"4","command":"[]"} | ret=SUCCESS |  
2026-02-12 21:33:54,959 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"a28461da-cafb-4d08-af65-17466ff50ac5","term":"4","command":"[]"} | ret=SUCCESS |  
2026-02-12 21:33:55,384 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"4a4a3dea-8c94-4428-bdd2-8e1219ce48e1","term":"4","command":"[]"} | ret=SUCCESS |  
2026-02-12 21:33:55,561 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"a28461da-cafb-4d08-af65-17466ff50ac5","term":"4","command":"[]"} | ret=SUCCESS |  
2026-02-12 21:34:16,911 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=ALLOCATE_BLOCK {"replication":"RATIS/ONE","owner":"omservice","size":"268435456","sampleBlocks":"[conID: 5 locID: 117883640217601001]","num":"1","client":"","allocated":"1"} | ret=SUCCESS |  
2026-02-12 21:34:21,024 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {"containerIDs":"#5,"} | ret=SUCCESS |  
