2026-02-16 15:31:02,808 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-16 15:31:02,806 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-16 15:31:02,808 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-16 15:31:03,783 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"a0ce3596-11fc-424f-9c96-f4ed6ebb1ba6(56169ac9e075/10.9.0.11)"} | ret=SUCCESS |  
2026-02-16 15:31:05,155 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"67036ff4-bc3c-42d8-a4d0-93e60ed4f94c(de45d7c50df0/10.9.0.12)"} | ret=SUCCESS |  
2026-02-16 15:31:05,390 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"97c129b0-cde1-402e-a923-c595cd241954(58d051cc936c/10.9.0.13)"} | ret=SUCCESS |  
2026-02-16 15:31:05,731 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"a0ce3596-11fc-424f-9c96-f4ed6ebb1ba6","command":"[]"} | ret=SUCCESS |  
2026-02-16 15:31:07,145 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"67036ff4-bc3c-42d8-a4d0-93e60ed4f94c","command":"[]"} | ret=SUCCESS |  
2026-02-16 15:31:07,380 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"97c129b0-cde1-402e-a923-c595cd241954","command":"[]"} | ret=SUCCESS |  
2026-02-16 15:31:08,861 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-16 15:31:09,226 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
