2026-02-20 11:41:44,986 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-20 11:41:44,987 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-20 11:41:44,986 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-20 11:41:46,732 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"b580f5fa-2f8f-4164-be47-911bf1e1c032(0dc70833f1b4/172.18.0.2)"} | ret=SUCCESS |  
2026-02-20 11:41:47,073 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"50c508c2-23d4-4206-9a61-24ec5b9c15a5(9b6326bb5b1a/172.18.0.9)"} | ret=SUCCESS |  
2026-02-20 11:41:47,637 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"fe04df56-3f60-46c1-85ef-7557111d79d7(38be934986bc/172.18.0.8)"} | ret=SUCCESS |  
2026-02-20 11:41:48,572 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"b580f5fa-2f8f-4164-be47-911bf1e1c032","command":"[]"} | ret=SUCCESS |  
2026-02-20 11:41:48,937 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"50c508c2-23d4-4206-9a61-24ec5b9c15a5","command":"[]"} | ret=SUCCESS |  
2026-02-20 11:41:49,472 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"fe04df56-3f60-46c1-85ef-7557111d79d7","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-20 11:41:51,012 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-20 11:41:51,286 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-20 11:41:51,292 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-02-20 11:41:51,552 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-02-20 11:41:51,966 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"50c508c2-23d4-4206-9a61-24ec5b9c15a5","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-20 11:41:51,974 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"b580f5fa-2f8f-4164-be47-911bf1e1c032","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-20 11:41:51,978 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"fe04df56-3f60-46c1-85ef-7557111d79d7","term":"2","command":"[]"} | ret=SUCCESS |  
2026-02-20 11:41:52,798 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-20 11:41:53,801 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
