2026-02-24 04:41:43,433 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96873","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193769"} | ret=SUCCESS |  
2026-02-24 04:41:43,433 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-24 04:41:43,442 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96878","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193770"} | ret=SUCCESS |  
2026-02-24 04:41:43,443 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96884","dataSize":"0","replicationType":"NONE","Transaction":"193771"} | ret=SUCCESS |  
2026-02-24 04:41:43,443 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96877","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193772"} | ret=SUCCESS |  
2026-02-24 04:41:43,443 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-24 04:41:43,443 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96888","dataSize":"0","replicationType":"NONE","Transaction":"193773"} | ret=SUCCESS |  
2026-02-24 04:41:43,444 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96883","dataSize":"0","replicationType":"NONE","Transaction":"193774"} | ret=SUCCESS |  
2026-02-24 04:41:43,444 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96875","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193775"} | ret=SUCCESS |  
2026-02-24 04:41:43,444 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-24 04:41:43,444 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-24 04:41:43,446 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-24 04:41:43,444 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96889","dataSize":"0","replicationType":"NONE","Transaction":"193776"} | ret=SUCCESS |  
2026-02-24 04:41:43,446 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96890","dataSize":"0","replicationType":"NONE","Transaction":"193777"} | ret=SUCCESS |  
2026-02-24 04:41:43,446 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96887","dataSize":"0","replicationType":"NONE","Transaction":"193778"} | ret=SUCCESS |  
2026-02-24 04:41:43,446 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96891","dataSize":"0","replicationType":"NONE","Transaction":"193779"} | ret=SUCCESS |  
2026-02-24 04:41:43,447 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96892","dataSize":"0","replicationType":"NONE","Transaction":"193780"} | ret=SUCCESS |  
2026-02-24 04:41:43,447 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96893","dataSize":"0","replicationType":"NONE","Transaction":"193781"} | ret=SUCCESS |  
2026-02-24 04:41:43,447 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96882","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193782"} | ret=SUCCESS |  
2026-02-24 04:41:43,447 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96894","dataSize":"0","replicationType":"NONE","Transaction":"193783"} | ret=SUCCESS |  
2026-02-24 04:41:43,447 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96895","dataSize":"0","replicationType":"NONE","Transaction":"193784"} | ret=SUCCESS |  
2026-02-24 04:41:43,447 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96896","dataSize":"0","replicationType":"NONE","Transaction":"193785"} | ret=SUCCESS |  
2026-02-24 04:41:43,450 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96886","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193786"} | ret=SUCCESS |  
2026-02-24 04:41:43,451 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96885","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193787"} | ret=SUCCESS |  
2026-02-24 04:41:43,452 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96897","dataSize":"0","replicationType":"NONE","Transaction":"193788"} | ret=SUCCESS |  
2026-02-24 04:41:43,452 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-24 04:41:43,452 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96899","dataSize":"0","replicationType":"NONE","Transaction":"193789"} | ret=SUCCESS |  
2026-02-24 04:41:43,453 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-24 04:41:43,455 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-24 04:41:43,456 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96884","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193790"} | ret=SUCCESS |  
2026-02-24 04:41:43,457 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96888","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193791"} | ret=SUCCESS |  
2026-02-24 04:41:43,457 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96900","dataSize":"0","replicationType":"NONE","Transaction":"193792"} | ret=SUCCESS |  
2026-02-24 04:41:43,457 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96898","dataSize":"0","replicationType":"NONE","Transaction":"193793"} | ret=SUCCESS |  
2026-02-24 04:41:43,457 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-24 04:41:43,458 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96883","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193794"} | ret=SUCCESS |  
2026-02-24 04:41:43,458 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96901","dataSize":"0","replicationType":"NONE","Transaction":"193795"} | ret=SUCCESS |  
2026-02-24 04:41:43,459 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96890","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193796"} | ret=SUCCESS |  
2026-02-24 04:41:43,459 | INFO  | OMAudit | user=testuser/om@EXAMPLE.COM | ip=172.25.0.111 | op=COMMIT_KEY {"volume":"vol1","bucket":"bucket1","key":"ruuohloexf/96895","dataSize":"0","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"193797"} | ret=SUCCESS |  
