2026-02-26 09:07:52,341 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-02-26 09:07:52,998 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_VOLUME {"volume":"vol1"} | ret=SUCCESS |  
2026-02-26 09:07:53,022 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-26 09:07:53,162 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_KEY {"volume":"vol1","bucket":"bucket1","key":"ockgpre/0","owner":null,"dataSize":"0","replicationConfig":null} | ret=SUCCESS |  
2026-02-26 09:07:53,213 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_VOLUME {"volume":"vol1"} | ret=SUCCESS |  
2026-02-26 09:07:53,215 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-26 09:07:53,219 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_KEY {"volume":"vol1","bucket":"bucket1","key":"ockgpre/0","owner":null,"dataSize":"0","replicationConfig":null} | ret=SUCCESS |  
2026-02-26 09:07:53,870 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_VOLUME {"volume":"vol1"} | ret=SUCCESS |  
2026-02-26 09:07:53,872 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_BUCKET {"volume":"vol1","bucket":"bucket1"} | ret=SUCCESS |  
2026-02-26 09:07:53,883 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=READ_KEY {"volume":"vol1","bucket":"bucket1","key":"ockgpre/0","owner":null,"dataSize":"0","replicationConfig":null} | ret=SUCCESS |  
2026-02-26 09:08:02,110 | INFO  | OMAudit | user=hadoop | ip=10.9.0.17 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
