2026-02-26 10:26:38,504 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-26 10:26:38,504 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-26 10:26:38,980 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-26 10:26:41,725 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"e015442e-50d9-494e-89ac-6afa115994de(4ce892ce002b/10.9.0.12)"} | ret=SUCCESS |  
2026-02-26 10:26:41,868 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-26 10:26:42,135 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"f28fe1bd-3fcd-47c4-9fc8-a91008d7101f(cb6c4ec74908/10.9.0.11)"} | ret=SUCCESS |  
2026-02-26 10:26:42,510 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"5a7cc007-155b-4023-981d-9dfff81c46ff(3a7076e44ae2/10.9.0.13)"} | ret=SUCCESS |  
2026-02-26 10:26:42,932 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-02-26 10:26:43,183 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"f28fe1bd-3fcd-47c4-9fc8-a91008d7101f","term":"3","command":"[]"} | ret=SUCCESS |  
2026-02-26 10:26:43,284 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-02-26 10:26:43,357 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"e015442e-50d9-494e-89ac-6afa115994de","term":"3","command":"[]"} | ret=SUCCESS |  
2026-02-26 10:26:43,748 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-02-26 10:26:43,838 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE {} | ret=SUCCESS |  
