2026-02-27 13:12:41,102 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-27 13:12:42,392 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {"datanodeDetails":"bb397e07-0262-4c6d-9aa1-5d070bee9cf7(200def40f445/172.25.0.103)"} | ret=SUCCESS |  
2026-02-27 13:12:42,651 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-27 13:12:43,930 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {"datanodeDetails":"5cb32728-4e5e-4e36-a475-d16d6d65b60b(7c8a21368d61/172.25.0.104)"} | ret=SUCCESS |  
2026-02-27 13:12:44,180 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION {} | ret=SUCCESS |  
2026-02-27 13:12:44,214 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"bb397e07-0262-4c6d-9aa1-5d070bee9cf7","command":"[]"} | ret=SUCCESS |  
2026-02-27 13:12:44,849 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"bb397e07-0262-4c6d-9aa1-5d070bee9cf7","command":"[]"} | ret=SUCCESS |  
2026-02-27 13:12:44,861 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"bb397e07-0262-4c6d-9aa1-5d070bee9cf7","command":"[]"} | ret=SUCCESS |  
2026-02-27 13:12:45,459 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {"datanodeDetails":"3b96b205-aa64-4ae8-beba-0d93c5dd88a4(232310bb3754/172.25.0.102)"} | ret=SUCCESS |  
2026-02-27 13:12:45,863 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"5cb32728-4e5e-4e36-a475-d16d6d65b60b","command":"[]"} | ret=SUCCESS |  
2026-02-27 13:12:45,991 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"bb397e07-0262-4c6d-9aa1-5d070bee9cf7","command":"[]"} | ret=SUCCESS |  
2026-02-27 13:12:46,298 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"5cb32728-4e5e-4e36-a475-d16d6d65b60b","command":"[]"} | ret=SUCCESS |  
2026-02-27 13:12:46,302 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"5cb32728-4e5e-4e36-a475-d16d6d65b60b","command":"[]"} | ret=SUCCESS |  
