2026-03-10 14:39:11,332 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:39:11,329 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:39:11,328 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:39:11,329 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:39:11,329 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:39:11,328 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:39:12,317 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.13 | op=REGISTER {"datanodeDetails":"1f78c531-1300-4ddc-8305-059ce1ab71b0(95359b47b450/172.18.0.13)"} | ret=SUCCESS |  
2026-03-10 14:39:12,498 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"16cec735-0b4b-4740-ac9a-aada400fdb65(180b38e05288/172.18.0.2)"} | ret=SUCCESS |  
2026-03-10 14:39:12,729 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=REGISTER {"datanodeDetails":"bdc04ab3-85a6-4584-8e7b-493b3ea35ffd(845937c3c2fb/172.18.0.3)"} | ret=SUCCESS |  
2026-03-10 14:39:13,876 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {"datanodeDetails":"9f9878f2-4e04-478d-bc56-a31662c536ab(87f2c33dfbe6/172.18.0.5)"} | ret=SUCCESS |  
2026-03-10 14:39:13,909 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.14 | op=REGISTER {"datanodeDetails":"498a90db-15cf-4895-8122-1fe7212fe956(935ed920ec31/172.18.0.14)"} | ret=SUCCESS |  
2026-03-10 14:39:13,982 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"ab687057-2029-4bf3-b224-1473726e9282(f52c4a736a2a/172.18.0.9)"} | ret=SUCCESS |  
