2026-03-10 14:40:42,174 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:40:42,170 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:40:42,172 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:40:43,730 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"cf4c0bf2-c5b4-4cba-8a56-772a06f0f758(d60a8695b593/172.18.0.8)"} | ret=SUCCESS |  
2026-03-10 14:40:44,383 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=REGISTER {"datanodeDetails":"204d4711-9335-4abc-af5a-d0cb74fb5ade(2df0127834ca/172.18.0.2)"} | ret=SUCCESS |  
2026-03-10 14:40:45,725 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"cf4c0bf2-c5b4-4cba-8a56-772a06f0f758","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:46,051 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"204d4711-9335-4abc-af5a-d0cb74fb5ade","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:46,131 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"70c20c9b-2577-4062-96af-cc8a0606115e(309089dffbd5/172.18.0.9)"} | ret=SUCCESS |  
2026-03-10 14:40:46,932 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:47,653 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"70c20c9b-2577-4062-96af-cc8a0606115e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:48,051 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:48,295 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-03-10 14:40:48,733 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-03-10 14:40:48,945 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-03-10 14:40:49,077 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:49,286 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"204d4711-9335-4abc-af5a-d0cb74fb5ade","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:49,287 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"70c20c9b-2577-4062-96af-cc8a0606115e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:49,293 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"cf4c0bf2-c5b4-4cba-8a56-772a06f0f758","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:50,080 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:51,084 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:52,088 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:52,096 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-03-10 14:40:53,092 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:54,096 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:54,286 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"70c20c9b-2577-4062-96af-cc8a0606115e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:54,289 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"204d4711-9335-4abc-af5a-d0cb74fb5ade","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:54,292 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"cf4c0bf2-c5b4-4cba-8a56-772a06f0f758","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:54,447 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"cf4c0bf2-c5b4-4cba-8a56-772a06f0f758","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:54,456 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"cf4c0bf2-c5b4-4cba-8a56-772a06f0f758","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:54,478 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"204d4711-9335-4abc-af5a-d0cb74fb5ade","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:54,486 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"204d4711-9335-4abc-af5a-d0cb74fb5ade","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:54,489 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"70c20c9b-2577-4062-96af-cc8a0606115e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:54,559 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"70c20c9b-2577-4062-96af-cc8a0606115e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:55,100 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:56,103 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:57,105 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:58,107 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:59,109 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:40:59,453 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"cf4c0bf2-c5b4-4cba-8a56-772a06f0f758","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:59,483 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=SEND_HEARTBEAT {"datanodeUUID":"204d4711-9335-4abc-af5a-d0cb74fb5ade","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:40:59,557 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"70c20c9b-2577-4062-96af-cc8a0606115e","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:41:00,112 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-10 14:41:01,115 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
