2026-03-21 18:05:25,944 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-03-21 18:05:26,944 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=CREATE_VOLUME {"admin":"hadoop","owner":"hadoop","volume":"vol-fqnxg","creationTime":"1774116326900","modificationTime":"1774116326900","quotaInBytes":"-1","quotaInNamespace":"-1","usedNamespace":"0","objectID":"-9223372036854775552","updateID":"1","Transaction":"1"} | ret=SUCCESS |  
2026-03-21 18:05:28,621 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-03-21 18:05:29,588 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=READ_VOLUME {"volume":"vol-fqnxg"} | ret=SUCCESS |  
2026-03-21 18:05:29,676 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=CREATE_BUCKET {"volume":"vol-fqnxg","bucket":"buc-gdbgm","bucketLayout":"LEGACY","gdprEnabled":null,"acls":"[user:hadoop:a[ACCESS], group:hadoop:rl[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1774116329667","bucketEncryptionKey":null,"modificationTime":"1774116329667","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"hadoop","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"2"} | ret=SUCCESS |  
2026-03-21 18:05:31,423 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-03-21 18:05:32,253 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=READ_VOLUME {"volume":"vol-fqnxg"} | ret=SUCCESS |  
2026-03-21 18:05:32,312 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=READ_BUCKET {"volume":"vol-fqnxg","bucket":"buc-gdbgm"} | ret=SUCCESS |  
2026-03-21 18:05:32,389 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=READ_BUCKET {"volume":"vol-fqnxg","bucket":"buc-gdbgm"} | ret=SUCCESS |  
2026-03-21 18:05:32,605 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=ALLOCATE_KEY {"volume":"vol-fqnxg","bucket":"buc-gdbgm","key":"file1","dataSize":"5693","replicationType":"NONE","Transaction":"3"} | ret=SUCCESS |  
2026-03-21 18:05:34,161 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=COMMIT_KEY {"volume":"vol-fqnxg","bucket":"buc-gdbgm","key":"file1","dataSize":"5693","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"4"} | ret=SUCCESS |  
2026-03-21 18:05:36,451 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-03-21 18:05:37,302 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=READ_VOLUME {"volume":"vol-fqnxg"} | ret=SUCCESS |  
2026-03-21 18:05:37,353 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=READ_BUCKET {"volume":"vol-fqnxg","bucket":"buc-gdbgm"} | ret=SUCCESS |  
2026-03-21 18:05:37,398 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=READ_BUCKET {"volume":"vol-fqnxg","bucket":"buc-gdbgm"} | ret=SUCCESS |  
2026-03-21 18:05:37,409 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=ALLOCATE_KEY {"volume":"vol-fqnxg","bucket":"buc-gdbgm","key":"dir1/dir2/file2","dataSize":"6038","replicationType":"NONE","Transaction":"5"} | ret=SUCCESS |  
2026-03-21 18:05:38,209 | INFO  | OMAudit | user=hadoop | ip=172.18.0.5 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-03-21 18:05:38,629 | INFO  | OMAudit | user=hadoop | ip=172.18.0.6 | op=COMMIT_KEY {"volume":"vol-fqnxg","bucket":"buc-gdbgm","key":"dir1/dir2/file2","dataSize":"6038","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"6"} | ret=SUCCESS |  
