2026-04-04 11:39:38,720 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2026-04-04 11:39:38,724 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-04-04 11:39:38,719 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-04-04 11:39:41,197 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {"datanodeDetails":"56bc1d6c-9176-44f9-8476-4757633f9daf(a9580d251603/172.18.0.6)"} | ret=SUCCESS |  
2026-04-04 11:39:41,543 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"8662f43d-b776-48b9-bfc7-5b39e4f2d5f2(e84ec236f5c0/172.18.0.8)"} | ret=SUCCESS |  
2026-04-04 11:39:41,723 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"70e649bb-ebdb-4640-8a2f-f5fa86084ffc(fedaa73bb280/172.18.0.9)"} | ret=SUCCESS |  
2026-04-04 11:39:42,709 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"56bc1d6c-9176-44f9-8476-4757633f9daf","command":"[]"} | ret=SUCCESS |  
2026-04-04 11:39:42,800 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-04 11:39:43,478 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"8662f43d-b776-48b9-bfc7-5b39e4f2d5f2","term":"2","command":"[]"} | ret=SUCCESS |  
2026-04-04 11:39:43,501 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-04-04 11:39:43,619 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-04-04 11:39:43,653 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"70e649bb-ebdb-4640-8a2f-f5fa86084ffc","term":"2","command":"[]"} | ret=SUCCESS |  
2026-04-04 11:39:43,862 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"56bc1d6c-9176-44f9-8476-4757633f9daf","term":"2","command":"[]"} | ret=SUCCESS |  
2026-04-04 11:39:43,862 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"8662f43d-b776-48b9-bfc7-5b39e4f2d5f2","term":"2","command":"[]"} | ret=SUCCESS |  
2026-04-04 11:39:43,863 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"70e649bb-ebdb-4640-8a2f-f5fa86084ffc","term":"2","command":"[]"} | ret=SUCCESS |  
2026-04-04 11:39:43,944 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-04 11:39:44,817 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-04-04 11:39:44,948 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-04 11:39:45,952 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-04 11:39:46,954 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-04 11:39:47,959 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.2 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-04-04 11:39:47,984 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-04-04 11:39:48,861 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"8662f43d-b776-48b9-bfc7-5b39e4f2d5f2","term":"2","command":"[]"} | ret=SUCCESS |  
2026-04-04 11:39:48,865 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"70e649bb-ebdb-4640-8a2f-f5fa86084ffc","term":"2","command":"[]"} | ret=SUCCESS |  
