2026-04-04 15:14:53,775 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-04-04 15:14:54,853 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=CREATE_VOLUME {"admin":"hadoop","owner":"hadoop","volume":"vol-iwall","creationTime":"1775315694814","modificationTime":"1775315694814","quotaInBytes":"-1","quotaInNamespace":"-1","usedNamespace":"0","objectID":"-9223372036854775552","updateID":"1","Transaction":"1"} | ret=SUCCESS |  
2026-04-04 15:14:56,822 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-04-04 15:14:57,719 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=READ_VOLUME {"volume":"vol-iwall"} | ret=SUCCESS |  
2026-04-04 15:14:57,832 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=CREATE_BUCKET {"volume":"vol-iwall","bucket":"buc-vklmy","bucketLayout":"LEGACY","gdprEnabled":null,"acls":"[user:hadoop:a[ACCESS], group:hadoop:rl[ACCESS]]","isVersionEnabled":"false","storageType":"DISK","creationTime":"1775315697821","bucketEncryptionKey":null,"modificationTime":"1775315697821","usedBytes":"0","usedNamespace":"0","snapshotUsedBytes":"0","snapshotUsedNamespace":"0","owner":"hadoop","replicationType":null,"replicationConfig":null,"quotaInBytes":"-1","quotaInNamespace":"-1","Transaction":"2"} | ret=SUCCESS |  
2026-04-04 15:14:59,689 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-04-04 15:15:00,569 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=READ_VOLUME {"volume":"vol-iwall"} | ret=SUCCESS |  
2026-04-04 15:15:00,623 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=READ_BUCKET {"volume":"vol-iwall","bucket":"buc-vklmy"} | ret=SUCCESS |  
2026-04-04 15:15:00,728 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=READ_BUCKET {"volume":"vol-iwall","bucket":"buc-vklmy"} | ret=SUCCESS |  
2026-04-04 15:15:01,019 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=ALLOCATE_KEY {"volume":"vol-iwall","bucket":"buc-vklmy","key":"file1","dataSize":"5691","replicationType":"NONE","Transaction":"3"} | ret=SUCCESS |  
2026-04-04 15:15:02,997 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=COMMIT_KEY {"volume":"vol-iwall","bucket":"buc-vklmy","key":"file1","dataSize":"5691","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"4"} | ret=SUCCESS |  
2026-04-04 15:15:05,276 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-04-04 15:15:06,149 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=READ_VOLUME {"volume":"vol-iwall"} | ret=SUCCESS |  
2026-04-04 15:15:06,193 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=READ_BUCKET {"volume":"vol-iwall","bucket":"buc-vklmy"} | ret=SUCCESS |  
2026-04-04 15:15:06,245 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=READ_BUCKET {"volume":"vol-iwall","bucket":"buc-vklmy"} | ret=SUCCESS |  
2026-04-04 15:15:06,264 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=ALLOCATE_KEY {"volume":"vol-iwall","bucket":"buc-vklmy","key":"dir1/dir2/file2","dataSize":"6038","replicationType":"NONE","Transaction":"5"} | ret=SUCCESS |  
2026-04-04 15:15:07,151 | INFO  | OMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SERVICE_LIST {} | ret=SUCCESS |  
2026-04-04 15:15:07,555 | INFO  | OMAudit | user=hadoop | ip=172.18.0.7 | op=COMMIT_KEY {"volume":"vol-iwall","bucket":"buc-vklmy","key":"dir1/dir2/file2","dataSize":"6038","replicationType":"RATIS","replicationFactor":"THREE","Transaction":"6"} | ret=SUCCESS |  
