2026-05-14 15:08:22,819 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-14 15:08:23,203 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-14 15:08:24,562 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-14 15:08:25,305 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {"datanodeDetails":"c031625b-4551-4477-9738-6422e4c6f072(ozonesecure-ha-datanode3-1.ozonesecure-ha_ozone_net/172.25.0.104)"} | ret=SUCCESS |  
2026-05-14 15:08:25,305 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {"datanodeDetails":"4dd2038d-bbfe-47f0-89a4-7562921725f7(ozonesecure-ha-datanode2-1.ozonesecure-ha_ozone_net/172.25.0.103)"} | ret=SUCCESS |  
2026-05-14 15:08:26,493 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:26,528 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:26,587 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:26,900 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {"datanodeDetails":"fd529d13-ee68-44be-9c1a-957cbefc1e3b(ozonesecure-ha-datanode1-1.ozonesecure-ha_ozone_net/172.25.0.102)"} | ret=SUCCESS |  
2026-05-14 15:08:27,254 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:27,535 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"fd529d13-ee68-44be-9c1a-957cbefc1e3b","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:27,704 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"fd529d13-ee68-44be-9c1a-957cbefc1e3b","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:28,348 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:29,165 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:29,714 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:31,065 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"fd529d13-ee68-44be-9c1a-957cbefc1e3b","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:31,454 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"fd529d13-ee68-44be-9c1a-957cbefc1e3b","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:32,594 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:34,102 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:34,666 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:35,018 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"fd529d13-ee68-44be-9c1a-957cbefc1e3b","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:35,165 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:35,175 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:35,256 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:36,417 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"fd529d13-ee68-44be-9c1a-957cbefc1e3b","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:40,166 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:40,255 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:40,883 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"fd529d13-ee68-44be-9c1a-957cbefc1e3b","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:45,152 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:45,257 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:45,815 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"fd529d13-ee68-44be-9c1a-957cbefc1e3b","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:50,161 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:50,259 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:50,815 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"fd529d13-ee68-44be-9c1a-957cbefc1e3b","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:55,153 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"4dd2038d-bbfe-47f0-89a4-7562921725f7","command":"[]"} | ret=SUCCESS |  
2026-05-14 15:08:55,254 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c031625b-4551-4477-9738-6422e4c6f072","command":"[]"} | ret=SUCCESS |  
