2026-05-19 08:20:05,083 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-19 08:20:07,231 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-19 08:20:07,249 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-19 08:20:09,301 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-05-19 08:20:11,076 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"a38f4401-ad84-4757-bb36-c243367d37fa(b861c54013c8/10.9.0.11)"} | ret=SUCCESS |  
2026-05-19 08:20:12,853 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"a38f4401-ad84-4757-bb36-c243367d37fa","term":"3","command":"[]"} | ret=SUCCESS |  
2026-05-19 08:20:12,948 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-05-19 08:20:12,955 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-05-19 08:20:13,192 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-05-19 08:20:13,811 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"a38f4401-ad84-4757-bb36-c243367d37fa","term":"3","command":"[]"} | ret=SUCCESS |  
2026-05-19 08:20:13,834 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"9be12e18-fa0c-49e6-8f16-8f32e6edfa5e(09de1de3da06/10.9.0.13)"} | ret=SUCCESS |  
2026-05-19 08:20:13,864 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"c44e25ea-491e-4644-b29a-e3a6d1b2187f(63c6ee2ee660/10.9.0.12)"} | ret=SUCCESS |  
2026-05-19 08:20:14,050 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"c44e25ea-491e-4644-b29a-e3a6d1b2187f","term":"3","command":"[]"} | ret=SUCCESS |  
2026-05-19 08:20:14,255 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"9be12e18-fa0c-49e6-8f16-8f32e6edfa5e","term":"3","command":"[]"} | ret=SUCCESS |  
2026-05-19 08:20:14,453 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-05-19 08:20:16,412 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"9be12e18-fa0c-49e6-8f16-8f32e6edfa5e","term":"3","command":"[]"} | ret=SUCCESS |  
2026-05-19 08:20:17,000 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"9be12e18-fa0c-49e6-8f16-8f32e6edfa5e","term":"3","command":"[]"} | ret=SUCCESS |  
2026-05-19 08:20:17,011 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"9be12e18-fa0c-49e6-8f16-8f32e6edfa5e","term":"3","command":"[]"} | ret=SUCCESS |  
2026-05-19 08:20:17,391 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"9be12e18-fa0c-49e6-8f16-8f32e6edfa5e","term":"3","command":"[]"} | ret=SUCCESS |  
2026-05-19 08:20:17,778 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"c44e25ea-491e-4644-b29a-e3a6d1b2187f","term":"3","command":"[]"} | ret=SUCCESS |  
2026-05-19 08:20:18,140 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"c44e25ea-491e-4644-b29a-e3a6d1b2187f","term":"3","command":"[]"} | ret=SUCCESS |  
