2026-05-24 11:16:12,220 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-24 11:16:12,904 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-24 11:16:13,039 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-24 11:16:13,044 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-24 11:16:13,133 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.105 | op=GET_VERSION {} | ret=SUCCESS |  
2026-05-24 11:16:13,619 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=REGISTER {"datanodeDetails":"590cae66-9327-4737-9ae1-99a5a18b9083(6dae0018cee6/172.25.0.106)"} | ret=SUCCESS |  
2026-05-24 11:16:14,762 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {"datanodeDetails":"8a70b0de-7379-48f1-a9d5-148798985694(4d340b444c75/172.25.0.104)"} | ret=SUCCESS |  
2026-05-24 11:16:15,458 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=SEND_HEARTBEAT {"datanodeUUID":"590cae66-9327-4737-9ae1-99a5a18b9083","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:15,516 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {"datanodeDetails":"b547a392-7529-48e1-a27f-bc848ee8f982(ozonesecure-ha-datanode2-1.ozonesecure-ha_ozone_net/172.25.0.103)"} | ret=SUCCESS |  
2026-05-24 11:16:15,569 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {"datanodeDetails":"1f072a31-96a0-498c-a9f6-1bd5603814b4(ozonesecure-ha-datanode1-1.ozonesecure-ha_ozone_net/172.25.0.102)"} | ret=SUCCESS |  
2026-05-24 11:16:15,858 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=SEND_HEARTBEAT {"datanodeUUID":"590cae66-9327-4737-9ae1-99a5a18b9083","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:15,882 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=SEND_HEARTBEAT {"datanodeUUID":"590cae66-9327-4737-9ae1-99a5a18b9083","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:16,037 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.105 | op=REGISTER {"datanodeDetails":"81777845-c87d-46ae-9feb-bde4c8be0394(ozonesecure-ha-datanode4-1.ozonesecure-ha_ozone_net/172.25.0.105)"} | ret=SUCCESS |  
2026-05-24 11:16:16,065 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"1f072a31-96a0-498c-a9f6-1bd5603814b4","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:16,142 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"b547a392-7529-48e1-a27f-bc848ee8f982","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:16,214 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"1f072a31-96a0-498c-a9f6-1bd5603814b4","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:16,292 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"b547a392-7529-48e1-a27f-bc848ee8f982","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:16,371 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.105 | op=SEND_HEARTBEAT {"datanodeUUID":"81777845-c87d-46ae-9feb-bde4c8be0394","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:16,505 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.105 | op=SEND_HEARTBEAT {"datanodeUUID":"81777845-c87d-46ae-9feb-bde4c8be0394","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:16,660 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"8a70b0de-7379-48f1-a9d5-148798985694","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:16,735 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=SEND_HEARTBEAT {"datanodeUUID":"590cae66-9327-4737-9ae1-99a5a18b9083","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:17,041 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.106 | op=SEND_HEARTBEAT {"datanodeUUID":"590cae66-9327-4737-9ae1-99a5a18b9083","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:17,058 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"8a70b0de-7379-48f1-a9d5-148798985694","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:17,079 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"8a70b0de-7379-48f1-a9d5-148798985694","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:18,005 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"8a70b0de-7379-48f1-a9d5-148798985694","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:18,155 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"8a70b0de-7379-48f1-a9d5-148798985694","command":"[]"} | ret=SUCCESS |  
2026-05-24 11:16:19,132 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {"datanodeUUID":"1f072a31-96a0-498c-a9f6-1bd5603814b4","command":"[]"} | ret=SUCCESS |  
